Timestamp,AccX,AccY,AccZ
2141864,3624,-567,17452
2143688,-649,-688,16899
2145492,-21,-66,14555
2147308,-1207,923,12459
2149108,208,-16,14951
2150912,-192,332,14508
2152732,-945,-225,18011
2154568,-1433,-647,18147
2156384,-635,39,18702
2158196,4582,298,12481
2160028,280,-1464,17748
2161864,2716,704,12244
2163668,-644,66,20296
2165480,-308,-482,12247
2167300,1370,76,13488
2169120,1984,581,13182
2170940,276,-446,17932
2172764,-1076,-364,16387
2174600,400,-1692,19120
2176428,25,-1305,15899
2178252,179,-153,18603
2180080,-1944,-590,15702
2181916,1729,-301,17689
2183748,1810,288,16532
2185576,2116,-342,14411
2187416,1194,-438,12819
2189228,179,67,13851
2191044,-1696,-476,14871
2192864,-170,51,16015
2194688,2438,-116,10136
2196520,465,-321,15286
2198328,843,383,13460
2200152,-1983,-401,20115
2201992,1346,-434,15655
2203840,2989,-279,15463
2205668,2679,111,16623
2207500,1421,-375,21668
2209312,120,36,13288
2211088,-92,-4,16497
2212896,-1619,57,10146
2214708,1892,-158,18020
2216544,-2486,-760,18091
2218396,-2664,-2126,18245
2220256,-903,-1391,16308
2222092,365,-838,19550
2223912,1597,-305,16528
2225736,2542,54,17639
2227552,-893,-387,18476
2229388,1548,-676,14798
2231200,4116,-76,9418
2233012,326,198,16380
2234820,737,353,11660
2236636,-1201,45,16904
2238436,583,117,14164
2240244,-1973,51,16085
2242048,2677,-13,14528
2243864,-316,-392,17895
2245700,-1969,-301,16335
2247524,560,-330,18212
2249352,3042,332,14969
2251164,1241,57,15911
2252984,-558,-762,14131
2254796,-53,-109,18491
2256608,-247,527,17060
2258424,1958,20,16360
2260232,-2981,39,18839
2262056,-859,-1185,15331
2263908,-3215,-1847,18695
2265752,-472,-588,19179
2267584,1497,-295,15284
2269424,1112,-478,16843
2271256,1473,-310,16159
2273104,1003,-1535,17420
2274940,849,-468,13768
2276740,518,26,16652
2278560,3637,397,10587
2280388,-2935,193,18440
2282204,-272,254,15694
2284032,-2361,-567,18679
2285852,525,-27,15556
2287644,597,-47,19642
2289432,-711,41,18260
2291260,-1221,-493,18943
2293088,-834,-160,14311
2294928,4976,194,18271
2296756,1487,523,15320
2298580,2235,860,17111
2300392,743,-482,16033
2302212,-602,-169,16924
2304052,-1943,-195,10575
2305888,759,-1281,14484
2307724,-2853,-511,19087
2309576,-1174,-1124,18947
2311420,803,-393,16279
2313252,2344,-502,17404
2315080,2820,138,13263
2316896,-723,-573,18056
2318728,1852,519,13102
2320552,1269,-99,15707
2322372,1565,-317,9968
2324200,-1729,-227,14164
2326028,-462,404,12487
2327856,-3376,-970,17651
2329684,-604,932,16344
2331500,574,1124,15909
2333304,568,-42,15992
2335128,1372,-634,18308
2336948,-274,-30,17003
2338764,2633,297,14619
2340588,4064,206,12091
2342416,2061,677,18351
2344248,-1063,-139,17630
2346080,-732,-160,16156
2347908,-2172,-740,13198
2349724,-7,-1349,14632
2351548,547,-1103,15875
2353388,-2393,-825,23715
2355208,-1196,8,15763
2357004,-180,-646,20924
2358836,3362,354,13590
2360660,1553,-645,17613
2362496,2737,-351,12815
2364304,-854,-10,18371
2366120,832,242,10012
2367944,3411,-247,11781
2369788,1217,185,12461
2371600,680,227,18252
2373416,-1564,172,13693
2375240,1134,229,13791
2377072,1156,-132,16979
2378908,556,-630,15879
2380736,-1363,-491,17968
2382572,1520,162,19660
2384396,2659,-439,17290
2386228,2573,901,15027
2388044,293,471,14047
2389860,-1382,-858,17943
2391700,-1002,-790,16796
2393556,-1525,-1465,19388
