Timestamp,AccX,AccY,AccZ
252357968,-260,630,17304
252359868,2531,307,12217
252361748,2877,-77,15060
252363636,2415,-414,12012
252365532,-827,-213,17340
252367424,-674,704,12663
252369312,217,1089,16711
252371220,1765,1017,13939
252373112,-259,-626,18807
252375004,-1098,-790,17450
252376904,150,-404,18634
252378796,1083,501,17063
252380688,3559,561,13083
252382572,-907,-212,16421
252384468,186,-484,17246
252386348,272,-208,15992
252388236,1469,-379,13613
252390136,-3578,-338,15948
252392040,-931,-747,16132
252393944,-3573,-624,20979
252395856,694,-1114,16696
252397768,2539,-281,14168
252399664,2541,-377,15267
252401536,974,-18,20072
252403408,556,-65,13544
252405292,2179,-65,17468
252407176,2247,333,7908
252409060,-737,-517,14381
252410960,-3029,-411,17156
252412868,1172,236,14676
252414748,-792,808,17871
252416648,899,1429,14801
252418540,-1084,-164,20708
252420440,475,-265,14803
252422352,-1720,-1230,16875
252424268,5367,787,15148
252426148,974,514,18602
252428040,1963,269,15687
252429940,-1503,-735,17587
252431836,-762,-153,15076
252433736,-1486,150,16189
252435616,-595,49,15443
252437512,-2486,-312,17100
252439404,-971,-615,18547
252441296,491,-743,16626
252443192,3376,-752,14726
252445104,1387,-1183,14392
252447012,-1029,-965,18103
252448912,391,481,16437
252450784,550,352,13956
252452680,3389,-201,13052
252454584,859,-1313,16663
252456500,-1208,-1022,18379
252458412,-2618,202,14280
252460304,72,1501,13984
252462192,-591,-205,19111
252464072,1050,-52,16540
252465956,-919,-749,16796
252467856,325,-1107,17325
252469752,3138,704,17027
252471640,2120,618,14084
252473532,-717,-395,15307
252475408,-234,-60,15683
252477288,877,461,15675
252479180,-845,1037,15548
252481080,1070,-493,19748
252482992,-3100,-1235,21231
252484908,-1598,-562,17691
252486816,509,-371,17892
252488700,3793,-887,14539
252490604,1352,-579,17295
252492492,776,-914,14436
252494376,-939,-891,17079
252496272,2053,457,14037
252498148,841,-77,14900
252500032,344,-658,14558
252501924,-224,-1090,14824
252503816,-164,-48,17776
252505708,-354,1036,16824
252507604,2386,268,16717
252509488,2744,-16,15999
252511388,-753,-1308,16459
252513292,-238,-630,14724
252515176,938,-206,14764
252517072,3317,363,15661
252518964,-1227,183,14367
252520868,-1398,-339,17287
252522760,201,383,14556
252524652,1876,594,13680
252526528,-2525,-95,17728
252528396,-82,-94,20532
252530288,-2439,-833,20047
252532196,2316,-367,17317
252534096,3792,-528,15955
252536000,3315,-671,15579
252537900,891,-1311,16611
252539788,480,-614,13459
252541684,1592,-600,12467
252543580,2776,558,12359
252545484,-1570,-110,18691
252547396,-2300,-230,15067
252549316,1019,-977,14372
252551200,696,162,16471
252553060,17,453,18091
252554940,-706,-102,18883
252556832,862,-470,17064
252558716,281,-591,15915
252560604,2060,-47,14555
252562476,930,91,14736
252564356,1658,340,10708
252566248,-3759,-111,17207
252568148,-699,-203,14140
252570044,516,1236,17375
252571924,261,263,16491
252573812,-1529,-30,19787
252575672,2,-754,17039
252577548,151,-319,18340
252579436,3779,-765,13612
252581352,2533,-1861,15680
252583276,-1432,-1216,16739
252585172,-68,-530,15340
252587072,-2037,425,14643
252588984,1553,1023,13828
252590884,-1644,296,17792
252592784,-1040,-293,16156
252594692,-3062,-520,17352
252596604,726,1022,14120
252598488,587,895,18784
252600380,1231,652,13140
252602268,-658,-1765,17960
252604180,1719,-723,13699
252606088,2821,269,13771
252607968,-94,1088,13100
252609860,-653,1247,16603
252611748,-249,53,16444
252613612,225,-87,16676
252615496,-645,847,15736
252617376,467,195,20259
252619276,-2413,-521,20588
252621180,1489,-417,17595
252623080,-319,-409,17288
252624984,5087,-825,15491
252626900,1447,-1505,17515
252628808,948,-1766,14687
252630728,-1272,-1390,15862
252632640,1431,623,15301
252634524,177,283,19667
252636408,-407,213,14681
252638308,-1399,-795,22107
252640200,286,-463,15295
252642096,1157,-327,16141
252643980,428,480,15440
252645876,1455,395,17348
252647760,450,-462,15787
252649656,2231,-489,13683
252651572,2052,-1074,10507
252653476,1805,211,14476
252655364,-3699,119,18307
252657252,-614,982,16180
252659144,-2525,281,18211
252661036,602,735,16748
252662924,-133,-105,17676
252664804,810,-122,21660
252666700,-1431,-807,19807
252668612,2562,-700,17831
252670516,1610,-616,16059
252672412,883,-1425,12715
252674320,-232,-1458,16825
252676228,-1048,-648,15676
252678124,2189,-77,15256
252680004,632,413,15468
252681888,945,149,17571
252683780,-2033,237,17724
252685680,1649,-149,14421
252687588,1396,-182,17779
252689488,2960,371,16628
252691380,-1442,-472,20952
252693288,2448,232,13784
252695180,1440,-302,17119
252697076,2391,-435,11136
252698984,-1199,196,16876
252700888,-3183,555,13528
252702788,-2404,576,19044
252704692,-924,1128,15603
252706576,694,426,18403
252708448,15,125,20387
252710312,332,59,18236
252712192,77,-1003,16659
252714088,1910,-408,14776
252715980,2001,-107,15224
252717888,1192,-1064,14400
252719808,-1004,-1795,19221
252721724,1984,-400,14046
252723616,-698,194,15155
252725500,579,663,14207
252727392,-1623,195,22327
252729280,188,501,18904
252731168,-1028,-34,19900
252733068,1149,-483,12624
252734968,1033,-427,19095
252736864,1236,906,15299
252738756,-107,-193,19331
252740660,1492,-580,13643
252742556,2023,-991,12012
252744444,191,-587,11884
252746328,-531,741,17096
252748236,-3765,1089,18352
252750128,919,749,16585
252752016,209,297,15173
252753908,1084,268,18798
252755792,-891,-291,19312
252757688,3044,100,15668
252759584,680,-1067,14423
252761488,4088,-718,13620
252763384,910,-724,17063
252765292,-1731,-1577,13838
252767200,-1147,-980,14805
252769112,1197,-746,16679
252771004,-224,396,18763
252772896,-1085,631,21111
252774796,-1072,-280,19355
252776712,1756,-453,17444
252778616,3870,-640,12707
252780500,1028,-68,16924
252782396,1196,408,17797
252784256,344,-8,17207
252786144,2098,-428,14687
252788044,1151,-832,12629
252789936,914,-106,13962
252791832,-5354,-156,16987
252793724,-49,1005,16164
252795624,-1931,485,16411
252797508,633,546,16899
252799388,-166,916,19848
252801292,3071,-157,19758
252803196,-880,-1320,16847
252805100,2206,-372,13799
252806992,305,-145,16432
252808884,1161,-386,14160
252810804,-2733,-1349,15779
252812724,-978,-1256,15396
252814624,190,-286,14832
252816496,52,358,16159
252818352,75,530,19723
252820240,-1216,204,15980
252822140,1069,-341,14787
252824040,2387,-767,14820
252825944,4930,346,16807
252827832,-1228,81,19579
252829728,1738,796,15892
252831600,852,-450,13503
252833496,1875,-837,11308
252835388,-210,-542,14411
252837280,-648,721,16363
252839180,-3191,-174,19911
252841088,1103,583,17804
252842960,620,172,18172
252844832,-367,-65,18011
252846728,2550,-192,20291
252848628,1117,-457,14296
252850528,1691,-961,13375
252852436,2773,-719,15068
252854324,620,-842,14272
252856224,-2995,-1399,16347
252858140,1147,-711,18508
252860036,-731,-179,17420
252861924,954,-154,14543
252863820,-1926,404,21315
252865716,-243,-173,15651
252867608,677,-822,18348
252869496,3036,-282,11504
252871400,1358,-696,14508
252873288,951,389,13521
252875172,-1007,-37,17636
252877072,-1396,-170,12828
252878980,1277,-577,15596
252880856,89,-307,16992
252882748,-597,725,17980
252884640,-3433,365,18195
252886544,1829,236,17760
252888432,1181,476,16404
252890320,810,-160,17960
252892200,134,-438,17300
252894060,3216,4,16484
252895948,-263,-1337,14852
252897868,1964,-1297,12432
252899776,-2223,-815,15900
252901688,-1436,-638,16491
252903608,-1114,-768,16792
252905524,-1492,-645,12207
252907428,1360,-535,18056
252909316,-1934,86,19927
252911200,-2026,-36,18496
252913104,1556,-420,14699
252915004,5481,-177,14916
252916896,846,-294,17780
252918752,-28,-32,14752
252920636,855,-455,15339
252922532,2156,730,11276
252924408,-607,-79,14175
252926292,156,-233,14113
252928196,-2163,-639,17384
252930100,-799,847,18028
252931972,916,614,14582
252933868,3573,609,18595
252935760,1464,-166,15004
252937648,1774,28,16836
252939528,402,-324,14492
252941424,1154,-966,14728
252943308,609,-549,14760
252945208,-3044,-344,15903
252947132,-3059,-1027,17552
252949052,-837,-1233,18083
252950936,388,84,17791
252952832,-2250,-498,14972
252954740,1327,765,20459
252956620,-1881,-84,20351
252958508,4179,83,15557
252960404,1527,-129,16404
252962308,3498,-164,12879
252964196,534,-838,15111
252966088,-775,495,14419
252967984,-1558,784,14932
252969876,1219,541,11798
252971772,-1727,-223,17947
252973688,-2648,-290,16044
252975592,1377,158,16388
252977484,3588,252,18835
252979368,510,308,13636
252981268,-1910,-138,21392
252983168,1041,-251,16472
252985044,717,82,15836
252986920,3499,-272,9900
252988820,-617,-1015,16732
252990736,-1335,-373,12604
252992644,-5716,-712,17369
252994540,-970,-704,14124
252996436,-366,-724,17955
252998324,137,-619,14503
253000208,-540,122,17464
253002096,1093,283,18404
253004000,1946,-106,17315
253005896,3362,225,11556
253007768,73,-859,14972
253009652,211,-759,13968
253011524,706,20,16483
253013408,-911,1025,15126
253015292,285,553,16668
253017180,-2343,-53,20036
253019072,-595,-513,18243
253020952,-730,12,19835
253022856,2521,547,15843
253024744,1005,861,19307
253026632,1873,485,16871
253028512,-644,-89,19083
253030400,1166,220,13623
253032292,1533,575,11323
253034172,-174,-128,14947
253036052,-1122,-2,16347
253037936,-2720,-78,18647
253039836,-571,-626,17352
253041724,-730,-232,14944
253043608,422,-882,16688
253045512,-2447,-1123,18579
253047420,3608,71,16068
253049304,881,-663,13726
253051196,3269,529,14924
253053092,1141,-323,17683
253054988,-173,-861,14650
253056880,-2146,-550,16215
253058780,1582,-57,13403
253060672,-1064,788,18191
253062568,-708,576,16956
253064464,-2325,-691,19443
253066384,1876,-1274,17699
253068296,4803,-181,14531
253070176,604,544,17255
253072056,1386,40,16843
253073940,-106,-376,19192
253075828,493,-183,14448
253077708,-84,-533,13083
253079600,1679,-279,16123
253081496,-5404,-940,20299
253083396,-933,133,16515
253085292,-2663,-101,18035
253087216,1473,-1011,15631
253089140,-1023,-1355,19388
253091064,2255,-961,16852
253092952,826,-300,18975
253094848,2698,-220,11498
253096736,152,-903,15051
253098632,1444,128,12172
253100520,-1947,-327,16499
253102428,-1006,418,16169
253104320,503,347,15468
253106200,-164,619,16612
253108080,1208,29,15953
253109980,-1893,-495,17507
253111888,1012,-472,17719
253113784,2261,-243,16620
253115684,2792,566,15315
253117572,-281,-623,20075
253119464,2123,539,14290
253121360,-1279,245,15736
253123256,2007,799,15413
253125152,-907,-1071,16644
253127068,-3979,-106,19591
253128976,-1906,250,17300
253130864,417,-297,16955
253132740,386,-246,17572
253134628,-555,-579,17200
253136536,-1099,-1686,16388
253138460,1135,-1225,11630
253140368,3723,491,12064
253142244,-195,95,15200
253144120,-158,-92,14443
253146008,-1905,-132,15780
253147920,1990,-278,13263
253149808,144,244,15132
253151696,-164,608,14748
253153592,-1704,-168,21647
253155496,864,324,17156
253157384,607,-783,16064
253159272,3823,-159,15884
253161176,1335,-331,16720
253163052,86,-482,14235
253164932,400,-310,14987
253166820,-1002,53,16603
253168704,105,253,15448
253170564,747,-33,17319
253172464,-2756,-632,18124
253174384,-2972,-1402,18443
253176300,1504,-841,15155
253178192,-606,-426,17855
253180096,1439,-963,14196
253181992,-47,-1907,20564
253183884,2068,-882,13092
253185788,1919,-624,13760
253187684,3413,385,12515
253189580,-1861,-611,16211
253191480,-396,-366,14828
253193376,-454,-144,17131
253195240,73,113,14087
253197128,1055,243,15891
253199012,-1391,11,18528
253200896,-400,608,18083
253202784,1067,125,16988
253204684,3525,-869,13815
253206572,494,-525,16208
253208448,850,152,16057
253210332,690,-166,16872
253212224,2034,518,15112
253214104,-2180,82,14828
253215972,48,61,19007
253217844,-1842,153,18495
253219728,-1079,-35,17749
253221620,813,-471,19347
253223516,3192,-244,17699
253225416,862,-1178,18926
253227304,383,-980,14972
253229204,972,-1257,17026
253231100,1845,-461,13420
253232976,-43,505,16783
253234860,-2624,28,17024
253236752,-3151,-965,16751
253238636,-135,50,20404
253240536,1158,356,13787
253242416,189,-245,15624
253244300,1438,268,18488
253246184,-910,572,19756
253248080,3360,110,14684
253249976,3065,-536,11703
253251880,2450,-376,17207
253253772,-182,368,15499
253255640,-527,-85,14195
253257532,-760,-244,12002
253259432,1278,901,14183
253261328,-2219,893,20476
253263228,-1904,302,18483
253265120,617,-417,19080
253267004,432,-824,17383
253268892,1223,-398,16372
253270784,-164,202,18147
253272680,659,-1057,16637
253274556,38,-994,13116
253276452,2625,-913,12924
253278356,-1237,160,18759
253280240,681,571,18992
253282136,-4497,-217,18413
253284032,322,-194,16101
253285904,-77,309,16979
253287796,3449,-227,16849
253289696,-807,262,18848
253291588,2901,261,15431
253293464,1596,18,18828
253295360,3642,-196,11864
253297248,407,-617,14952
253299144,-1609,578,16423
253301044,-1305,339,19339
253302948,-1211,199,16596
253304816,44,532,18743
253306692,503,609,17495
253308568,661,989,19763
253310480,-2442,-1014,18700
253312388,2097,-129,16972
253314300,2113,-189,16038
253316196,1778,-680,15700
253318092,-549,-1057,16292
253320000,2286,-993,16039
253321892,-263,-237,13451
253323772,3621,-3,11692
253325664,-2332,176,20157
253327568,-3690,-408,17047
253329480,-1536,108,21654
253331372,596,310,16555
253333264,2265,239,17828
253335132,640,-82,17296
253337020,237,-307,17263
253338908,971,396,11911
253340808,3960,-638,14484
253342680,-44,-420,15545
253344572,570,-384,14740
253346468,-2420,-104,18463
253348352,67,919,13189
253350232,-408,954,17791
253352120,849,419,15615
253354000,-662,-304,19783
253355896,2405,-653,14723
253357780,-51,-859,23264
253359664,2689,-96,18023
253361548,713,-405,18899
253363456,-373,-1755,14072
253365368,-859,-1457,17020
253367272,-1719,-369,13539
253369180,2509,155,17540
253371076,-1006,-200,15535
253372988,-2969,-899,16803
253374896,-2250,-212,18060
253376792,3267,25,13795
253378672,1428,63,15409
253380556,1544,558,13731
253382436,208,-472,17647
253384320,1351,-25,15587
253386216,1627,-611,11047
253388116,2419,511,15006
253390020,-3444,-858,17127
253391904,-431,87,14059
