Timestamp,AccX,AccY,AccZ
2648,-90,-980,15524
4344,-162,734,14627
6168,1197,1265,16120
7960,1638,676,14558
9764,357,-845,15319
11568,-95,-2317,14856
13416,-1831,-1555,18179
15272,-583,-393,15851
17028,-176,432,16900
18780,1798,922,14351
20532,1277,659,16795
22276,488,-1292,15557
24056,-121,-2257,16936
25840,-196,-1128,14559
27620,1655,1093,16772
29392,1741,1977,16076
31172,2113,1155,17392
32924,-377,-45,16708
34672,-983,-1381,15598
36448,-1655,-527,15968
38196,97,611,14928
39932,476,2568,20332
41692,231,2195,16772
43448,-158,-388,16303
45236,-1008,-2444,14845
47016,-273,-1851,15215
48776,-151,631,16236
50548,2004,1171,17172
52300,773,881,16151
54032,965,-667,15627
55796,438,-1784,13768
57580,-2176,-889,18951
59336,-359,-918,15915
61096,371,487,16871
62844,1389,661,14757
64592,989,-587,18251
66344,571,-1623,14615
68124,-535,-2217,16476
69900,-1586,-658,14756
71668,844,1738,16805
73440,2660,1708,15063
75220,2135,1337,15040
76980,-429,-547,16328
78748,-1517,-1527,16188
80536,-1799,-861,15539
82296,86,1098,15964
84064,1955,2511,15420
85820,716,1326,15728
87556,64,-788,17120
89324,-2099,-1923,17397
91112,-1141,-1239,15687
92900,1469,913,17232
94664,2468,1246,15612
96436,1127,985,16199
98176,-330,-596,17657
99956,-1069,-1881,14788
101752,-2052,-1158,18293
103612,650,-730,16944
105308,598,570,17563
107000,839,985,17708
108700,-77,-503,17299
110408,-184,-1671,15679
112148,-1000,-1805,16148
113880,-925,-269,15639
115596,980,1142,16880
117320,1499,1475,17315
119056,1811,1259,14899
120768,59,-1299,17876
122492,-1146,-2376,15732
124228,-1638,-548,16483
125944,491,1015,16347
127664,1649,2152,16685
129372,53,1920,14980
131060,904,-304,14852
132772,-753,-1665,15702
134516,-1776,-1040,17364
136240,412,242,16507
137952,2388,1012,16610
139684,3056,1140,15403
141400,-275,-781,17783
143104,-90,-2074,16276
144836,-1813,-1662,16920
146572,-1136,-424,14995
148304,1315,1021,16948
150020,1222,890,15768
151728,554,742,16884
153440,-1545,-1439,15983
155176,-876,-1356,17612
156916,-279,-1661,17267
158648,1370,-674,15494
160376,1871,1374,14932
162104,1402,1545,16135
163820,1638,754,15370
165520,650,-862,14516
167228,275,-2359,14839
168948,-1013,-837,15405
170680,155,1217,15725
172400,1140,2614,16565
174120,608,1700,15384
175816,393,-429,15179
177544,-2288,-1970,17645
179276,-919,-1697,18019
180980,-431,919,18372
182704,1453,2005,18456
184428,2289,907,16144
186124,679,-863,14576
187836,-853,-1895,16006
189576,-1709,-1951,18228
191300,-356,-608,14939
193020,731,1817,17108
194748,2195,1134,15268
196448,788,-510,18223
198176,-1021,-1519,16091
199924,-1782,-2000,17195
201660,-520,-1294,16131
203380,2009,811,15403
205092,2136,868,15595
206792,1540,504,15204
208496,374,-934,16500
210224,-1798,-1165,15723
211936,-298,-14,13436
213640,-716,943,15827
215352,326,1628,16395
217060,334,1784,15284
218736,49,97,17312
220432,-870,-1158,14963
222164,-1354,-1358,15723
223860,68,81,18248
225544,249,716,18384
227252,1850,680,15017
228952,2085,29,14699
230652,377,-889,14784
232372,-684,-2084,14191
234112,-1242,-1790,17523
235840,1013,-539,14403
237544,22,1076,16088
239256,1911,784,13904
240956,709,-296,18436
242672,-1976,-1046,17494
244408,-945,-2557,16932
246128,-12,-1202,15700
247836,989,581,16869
249552,1903,1773,18023
251272,2109,513,15155
252960,97,219,16216
254660,-656,-1454,15107
256376,74,-1142,15843
258084,-621,769,15445
259788,776,1444,17640
261488,-69,1399,14148
263176,725,41,17228
264872,-420,-1454,16524
266600,-606,-1355,16899
268316,-487,-392,15356
270032,-205,1125,18271
271752,2427,929,15761
273452,1599,37,17548
275168,1396,-1180,14124
276912,-1617,-2337,15943
278664,-1603,-1763,18275
280372,-174,86,16772
282056,44,617,17467
283756,1279,747,15570
285440,-63,-711,17459
287140,-789,-949,15619
288876,-2244,-2036,16763
290596,-975,-761,16160
292312,2551,699,16639
294040,1704,1122,13699
295752,1966,952,15141
297456,-653,-583,16955
299188,-872,-1758,15583
300888,-10,-758,13135
302588,164,666,13739
304316,1771,1415,17031
306016,78,1646,14899
307704,-489,25,18495
309436,-1583,-1613,15692
311152,-528,-380,16006
312872,1155,409,16879
314576,864,959,18704
316276,1913,295,16264
317980,413,-279,17888
319696,531,-1681,14032
321420,-1396,-2128,15977
323148,-706,-924,16123
324844,518,12,16960
326540,1445,526,16151
328256,1346,213,14181
329976,-1436,-806,15124
331708,-796,-1454,16804
333440,-960,-2046,18443
335148,-128,18,15339
336848,744,1044,16690
338568,2358,1412,15519
340284,848,1240,17095
341984,-507,-734,17922
343700,-636,-629,15799
345400,-71,-571,14782
347084,-84,208,15667
348800,1300,1816,14867
350500,78,832,16611
352176,-982,-68,16751
353888,-2138,-998,14543
355616,-440,-1000,15583
357324,402,630,15391
359032,694,1168,18695
360756,1663,1017,15639
362472,723,-1249,17367
364192,313,-1809,12510
365912,-381,-2365,16940
367636,306,-116,13507
369332,-169,557,18200
371044,1277,869,14360
372760,1722,-434,16164
374480,-1654,-870,17215
376216,-962,-1870,16780
377956,-1334,-1216,16624
379676,-202,-136,17548
381396,1499,947,15183
383116,1693,999,14624
384808,598,616,17302
386516,-1440,-729,16804
388244,-763,-952,16085
389940,-829,79,14876
391632,980,416,15291
393352,2242,1172,14764
395052,450,398,15476
396756,-542,-776,15032
398492,-1999,-1383,16476
400208,-146,-388,16639
401924,1569,568,18788
403652,2037,1468,15068
405368,1698,100,15976
407056,93,-953,14261
408772,-737,-1219,17556
410508,-1301,-1299,17792
412240,1025,-891,13787
413936,57,691,17309
415628,-256,1329,16276
417332,227,261,16836
419048,-1487,-973,17483
420772,-870,-2012,15088
422508,-901,-1565,16412
424224,2015,39,15592
425924,521,1547,18524
427648,2137,1449,16583
429372,1585,347,14696
431076,-429,-1613,15591
432796,-757,-644,17071
434480,61,-30,16068
436164,193,947,15155
437872,941,1229,14188
439572,721,539,15490
441256,-14,-782,17335
442984,-2709,-1032,16844
444684,-421,-6,15024
446360,-1,560,16735
448060,2461,883,14678
449780,1947,395,16912
451480,473,-963,14804
453208,-1223,-2097,16599
454944,-910,-1430,17040
456664,1965,-607,15395
458384,1534,502,17132
460084,827,263,16755
461776,-867,-437,18260
463508,-1101,-1709,15173
465256,-1221,-1697,17372
466984,-795,149,15819
468672,909,945,15560
470384,1238,916,14203
472088,1490,36,14031
473776,-486,-938,15708
475496,-288,-1496,17252
477208,-22,-300,15324
478908,-142,318,15658
480632,1415,1123,15835
482340,584,496,14676
484036,-431,-329,18336
485772,-1587,-1651,16288
487500,-1084,-77,16152
489212,-268,1069,17676
490928,363,1672,18199
492644,2609,839,15977
494348,1180,-594,18436
496072,-155,-1051,13168
497808,-1650,-2272,18356
499528,230,-556,14860
501236,1903,667,16983
502964,1405,1017,14786
504664,539,948,16587
506380,-984,-1027,13987
508132,-1824,-2338,17172
509860,-267,-1353,15340
511580,702,418,16234
513296,1476,1504,16276
515012,820,1850,17736
516712,837,589,18484
518416,-275,-941,18200
520128,716,-443,15376
521812,692,29,15838
523508,675,579,15231
525228,1071,1533,15987
526940,-394,910,16715
528644,-356,-928,17635
530380,-2131,-1321,16003
532112,-1834,182,18039
533808,-32,662,17128
535508,1425,598,17301
537224,1606,-246,15668
538952,1505,-1543,16195
540692,1006,-1842,13977
542428,-1305,-1437,17476
544152,-871,-713,15572
545876,1379,-153,17233
547576,893,403,14836
549288,722,-1008,16304
551024,-1880,-1427,15803
552764,-1643,-1675,18435
554496,-2212,-774,16692
556220,981,972,16220
557920,1976,990,15044
559628,1852,832,14983
561336,119,-149,16556
563060,-1099,-1531,14440
564788,-255,-293,15159
566512,1193,551,15067
568236,2212,1656,15796
569952,595,1412,15315
571656,-581,-756,17988
573380,-502,-1436,13632
575112,-2802,-776,17108
576824,404,610,14855
578520,945,1091,19484
580248,2232,1242,17718
581944,338,-34,19423
583644,-104,-1508,13394
585388,-1423,-2053,15668
587116,-448,-804,15540
588840,1056,-238,17723
590564,1344,1104,16007
592272,1794,-64,14836
593968,808,-862,15147
595680,-857,-2025,14475
597424,-1555,-1007,16568
599136,-262,-92,15303
600860,1884,1043,16492
602592,1981,1136,15379
604304,1902,26,16780
606000,-458,-794,17120
607736,-1525,-1881,16283
609448,81,179,13740
611144,1025,781,17108
612868,2368,1788,14003
614584,-429,481,14021
616292,-2416,-808,16380
618036,-1897,-1733,15027
619776,-2303,-632,16831
621496,373,779,14820
623188,850,850,16244
624900,1977,513,16397
626604,-176,-978,18515
628324,329,-1593,15992
630048,-161,-2099,16327
631768,-189,-1010,14206
633496,1606,548,16948
635208,1485,747,15662
636904,324,-348,16644
638608,-838,-502,16223
640332,-281,-1687,15606
642072,-1452,-1814,19893
643792,-512,-400,16692
645516,1406,444,17359
647240,1214,1866,17291
648956,1288,219,15822
650660,-61,-1119,14442
652372,-557,-763,16635
654068,-32,-292,15091
655772,932,760,15467
657488,2058,1756,15472
659200,492,1190,15155
660888,31,-459,16219
662608,-2409,-1191,17499
664336,-1228,-163,17239
666044,246,-29,16367
667736,715,845,16227
669436,1933,323,16327
671148,339,-1391,15676
672864,456,-1474,14180
674568,-982,-832,17871
676284,363,-695,13303
677976,277,79,16035
679664,1336,742,16502
681368,928,-318,18695
683088,-915,-1193,14012
684820,-1617,-1699,15771
686556,-1391,-507,15015
688272,-91,387,17460
689976,908,1034,15850
