Timestamp,AccX,AccY,AccZ
4683088,-1243,-1429,14003
4684940,-718,-1364,16252
4686784,-1899,-89,17776
4688628,-1037,1207,16392
4690464,1071,462,16882
4692276,317,-603,16008
4694100,805,-1243,15823
4695920,-762,-912,18483
4697744,-930,-372,16548
4699580,990,1230,16979
4701420,2798,1068,13732
4703244,1013,75,17267
4705052,-135,-909,14108
4706900,-2867,-2167,17412
4708744,-571,675,13792
4710576,198,1330,17380
4712396,502,1771,14804
4714208,407,543,18320
4716028,536,-1257,15863
4717852,-51,-1134,15079
4719692,1855,-415,15527
4721524,1544,-494,13596
4723324,-89,-15,16115
4725144,1020,644,13827
4726968,1131,17,15391
4728784,943,-1321,15208
4730636,-1689,-1923,14319
4732488,-2829,-103,16131
4734316,-686,928,18748
4736136,953,503,17712
4737956,1584,-552,15757
4739788,133,-1653,16544
4741616,61,-1591,16591
4743432,-779,-673,18672
4745264,2593,663,14587
4747096,3139,1045,15403
4748928,1158,294,14860
4750764,-1706,-1096,16297
4752640,-1413,-1031,17980
4754484,-646,-246,16363
4756316,-877,1765,16759
4758160,1412,2071,16201
4759984,-832,353,19084
4761804,317,-579,15936
4763628,-578,-1024,17067
4765480,1574,116,15377
4767308,1683,-195,15692
4769144,1573,-129,17223
4770972,-138,276,16780
4772788,210,234,15408
4774604,-201,-1339,14490
4776464,-1197,-1193,17455
4778312,-382,-699,17731
4780140,172,-202,16363
4781956,2746,865,14816
4783784,1125,421,16333
4785604,941,-689,14628
4787436,-461,-1339,18127
4789276,292,-514,14042
4791076,-92,-130,16720
4792896,1615,745,12280
4794712,-998,434,16304
4796540,-1478,-962,14931
4798384,155,-1177,16240
4800220,-2498,-344,15141
4802064,-586,1372,17464
4803900,832,1800,16379
4805728,2096,574,18015
4807544,-297,-387,18317
4809364,513,-639,14856
4811180,-689,-507,15276
4813012,861,113,14595
4814800,597,-63,16483
4816584,-9,153,17427
4818388,1374,62,15628
4820216,-1462,-506,16444
4822068,-1084,-1234,16308
4823928,-1053,-1495,18076
4825764,738,602,14620
4827568,814,825,18375
4829396,1709,490,18140
4831208,916,-627,18296
4833036,760,-1531,16103
4834860,83,-1819,13772
4836680,-500,-928,14323
4838512,2013,237,17187
4840320,-989,997,18567
4842148,-1070,486,15721
4843980,-1454,-986,16860
4845816,-366,-768,14599
4847652,-1252,438,21659
4849468,637,1693,17472
4851296,458,1037,17540
4853112,646,266,13271
4854940,1234,-590,15500
4856764,-238,-599,15352
4858600,-1296,-600,16580
4860420,58,-208,15495
4862236,1711,191,13604
