Timestamp,AccX,AccY,AccZ
590774624,2132,-370,17191
590776532,2771,671,10950
590778432,2533,2297,14372
590780344,-2949,1197,17160
590782232,-510,82,18535
590784124,-2204,-832,19551
590786020,-309,-799,14067
590787936,-1921,-1467,15542
590789852,455,-1518,20512
590791764,-1672,-1438,18278
590793672,3952,-608,14999
590795556,1209,65,18020
590797448,4374,440,15580
590799332,-870,-341,16780
590801236,-1527,767,13023
590803144,-857,1561,16836
590805060,2550,1320,13686
590806964,-143,-1340,17242
590808872,-365,-2441,17048
590810792,-1576,-1054,18276
590812712,1240,690,15964
590814604,1558,968,17328
590816492,-808,-605,17982
590818376,221,-561,14148
590820276,1387,155,17220
590822176,2841,2015,14075
590824068,-17,1219,15032
590825964,-1937,-615,17068
590827884,-3767,-1178,16836
590829812,1465,-1077,14875
590831712,-297,-883,18289
590833604,-728,-724,18448
590835520,-1176,-1084,20140
590837432,2279,-467,16496
590839336,3833,-701,15523
590841236,3929,-361,16551
590843148,-1441,1217,18052
590845068,-1532,1482,16051
590846972,-760,1074,14211
590848864,274,-656,12718
590850756,703,-2317,16119
590852672,-1535,-1614,19508
590854588,-1212,876,16360
590856504,2636,1116,16884
590858412,3198,576,16196
590860284,100,-582,16519
590862192,2166,-1094,13352
590864092,276,631,18764
590865992,2600,1856,15767
590867872,-452,94,15251
590869768,289,-1219,14339
590871684,-2646,-1758,17468
590873592,-1176,-439,16731
590875468,-902,2,21888
590877344,701,249,16795
590879248,1475,-1619,18211
590881160,-1885,-759,19971
590883076,1032,-679,17516
590884980,2845,-237,13439
590886872,632,1438,13755
590888764,-593,1733,18320
590890676,-1587,-1116,14139
590892592,-857,-1592,15503
590894500,1510,-2472,9720
590896412,-1301,-1313,19004
590898332,300,1408,18348
590900236,-1216,1027,20392
590902132,3245,745,14607
590904008,3033,-3,15142
590905896,3462,152,17919
590907788,362,1280,19695
590909676,194,845,15707
590911588,-1394,-1381,15027
590913508,1629,-2279,13192
590915432,-1220,-2116,16344
590917352,-3435,-495,18280
590919260,-2542,482,21603
590921140,-18,-938,17099
590923052,1912,-1250,13151
590924956,304,-372,19507
590926844,1501,405,19011
590928740,1623,752,12655
590930632,3381,653,12671
590932500,64,212,16305
590934384,1179,-547,12003
590936308,-1186,-2512,14419
590938220,-569,-2606,14640
590940116,-717,-683,20332
