Timestamp,AccX,AccY,AccZ
2688858388,1777,529,17716
2688860324,1992,644,12439
2688862256,-160,1940,12654
2688864192,-159,1373,18971
2688866128,-1703,973,12499
2688868064,-923,-1865,18046
2688870016,-2642,-2240,20320
2688871952,176,-256,19051
2688873872,1165,-71,21864
2688875800,-964,-900,17307
2688877756,1919,-1775,19508
2688879684,-413,-228,15516
2688881624,3116,1898,16719
2688883572,3316,2934,11760
2688885496,246,246,16179
2688887420,-3095,-689,17160
2688889364,-409,-1421,12988
2688891304,-739,-1423,14169
2688893244,-250,-1558,12387
2688895204,-2457,-1457,20004
2688897160,-1079,-1903,17852
2688899120,1228,-1480,15024
2688901056,2628,527,18732
2688902988,-229,2091,19332
2688904932,2011,2233,16460
2688906840,8,1438,15047
2688908756,1429,235,11335
2688910700,-2219,-559,16672
2688912648,-1047,-381,14116
2688914596,-1774,-908,17989
2688916552,-1096,-1675,14734
2688918496,594,-1552,18427
2688920436,2669,-607,15234
2688922368,1314,128,18897
2688924300,2142,926,12703
2688926228,1500,722,16280
2688928176,2992,1618,16212
2688930108,989,1741,17379
2688932048,-2123,-553,16167
2688934000,-2011,-2145,18900
2688935960,-2003,-1817,16496
2688937912,-717,-1031,13204
2688939856,-180,-1208,16763
2688941808,1068,-1050,17903
2688943764,-1339,-1479,16984
2688945712,3565,447,13468
2688947644,473,1859,15748
2688949584,1994,2248,18244
2688951532,1333,2592,16704
2688953468,1445,-883,12799
2688955404,-192,-1768,12444
2688957340,-101,-1161,18619
2688959284,-4467,-159,21611
2688961216,-416,-670,16860
2688963164,1033,-1509,14771
2688965108,1884,-766,14124
2688967028,-732,696,16775
2688968980,2316,1790,15739
2688970924,-481,1033,19587
2688972872,1839,1117,12604
2688974816,-1611,-1517,16983
2688976764,492,-1082,14003
2688978712,-3400,-1138,17244
2688980664,-993,-1350,17344
2688982616,-1711,-1271,18475
2688984568,2159,-977,18580
2688986504,2238,202,15926
2688988432,3577,126,16627
2688990372,1839,477,19924
2688992316,2883,1003,11986
2688994244,660,1502,16467
2688996168,314,962,16056
2688998096,1090,-674,15663
2689000040,-1270,-2184,14186
2689001988,765,-1500,14238
2689003932,-1967,-1167,20235
2689005880,-3023,-133,19867
2689007816,-191,199,17360
2689009752,3401,142,14645
2689011688,1018,1764,17083
2689013628,2294,940,18771
2689015548,355,937,19836
2689017480,2647,324,14056
2689019408,-135,-1159,13715
2689021348,313,-1731,17656
2689023284,-1253,-787,17051
2689025236,660,-1373,16212
2689027180,-3002,-1492,19523
2689029144,1217,-1683,16835
2689031064,2028,97,17228
2689033004,2257,1157,15287
2689034940,1529,837,15676
2689036864,2344,-88,13655
2689038784,1034,-184,9405
2689040700,-756,-476,12052
2689042644,-3492,-842,18456
2689044572,-1833,-37,14490
2689046504,670,-1110,14915
2689048440,150,-1758,14572
2689050356,-1574,-6,18724
2689052296,-1877,973,15092
2689054236,2717,1498,16486
2689056184,1788,2080,12943
2689058116,1447,641,15588
2689060044,-274,-366,15159
2689061956,61,-675,15079
2689063896,-1236,-1016,13692
2689065844,662,-1172,14760
2689067796,-4658,-1546,21572
2689069732,-1340,59,16131
2689071660,-197,-531,18364
2689073580,349,-329,17743
2689075504,308,-400,16223
2689077444,-190,1538,16813
2689079384,915,2097,20099
2689081316,2384,1656,10746
2689083260,2308,-2236,12340
2689085204,989,-2808,13404
2689087152,-2429,-2107,17043
2689089096,-1676,516,16427
2689091020,460,641,14708
2689092936,2645,-23,14359
2689094856,-333,-79,20639
2689096780,-158,638,16976
2689098708,235,2788,21577
2689100652,3940,3067,15316
2689102568,2731,-5,15667
2689104496,-585,-2079,14668
2689106440,-448,-1496,19447
2689108356,-1618,6,13316
2689110280,548,-690,19323
2689112232,-1800,-1642,18040
2689114196,-1016,-1104,16947
2689116112,-668,68,17516
2689118040,3692,802,13427
2689119972,1883,765,19592
2689121896,940,504,14243
2689123820,1404,804,23219
2689125752,1752,450,14436
2689127700,2475,-2449,10789
2689129656,3453,-2607,12572
2689131608,-4894,-2142,18571
2689133548,-1413,-401,20800
2689135488,-1446,964,15912
2689137432,1093,1118,18039
2689139340,0,1650,17364
2689141264,1410,1258,20096
2689143208,-2075,1733,16623
2689145160,3008,1867,16175
2689147096,2036,-34,13496
2689149024,384,-1382,12744
2689150964,-1146,-2273,21603
2689152912,-2429,-903,13382
2689154848,1263,-155,14732
2689156784,-201,-1461,15076
2689158716,-534,-721,21207
2689160644,-663,633,18995
2689162588,1564,2180,17920
2689164544,3997,1857,15445
2689166468,831,300,17183
2689168400,-183,-1397,18223
2689170336,-413,-1287,15892
2689172276,-369,-1117,13800
2689174232,1661,-1901,14127
2689176180,-1862,-2222,14432
2689178140,-2765,-1063,16243
2689180076,-1960,-72,17495
2689182020,1891,2247,12475
2689183972,-1533,2559,17825
2689185924,2438,2396,18131
2689187860,-292,1574,19679
2689189796,3590,150,12415
2689191728,2043,-719,15256
2689193668,2024,-644,14603
2689195620,-1477,-1533,16404
2689197576,-2164,-1268,13136
2689199536,-3278,-1386,15440
2689201468,982,227,13276
2689203408,-2078,676,17643
2689205328,-889,373,18743
2689207256,327,1895,18636
2689209200,3207,2016,15656
2689211136,1680,342,13555
2689213068,383,-1085,16915
2689215020,-1365,-1975,18332
2689216972,136,-1923,14241
2689218916,1185,-1219,13964
2689220868,-104,-1106,11175
2689222820,-289,-1151,15487
2689224740,-694,-76,15231
2689226688,1577,1319,18920
2689228624,846,2786,13803
2689230568,1785,2465,17036
2689232488,324,936,14079
2689234416,637,-1141,18580
2689236356,522,-1984,15708
2689238288,2545,-938,11524
2689240232,-2346,-290,18436
2689242164,-714,-518,15479
2689244112,-1176,-1298,17460
2689246040,-28,458,13007
2689247988,-1334,1204,19036
2689249928,-864,2604,18668
2689251876,-3048,1270,19467
2689253812,3690,394,13675
2689255748,1749,-489,18500
2689257696,3090,-540,13092
2689259620,-34,-2072,17080
2689261548,-611,-2387,15751
2689263492,-597,-1771,13648
2689265432,1593,-389,13239
2689267364,-2160,118,15422
2689269300,-1413,757,16147
2689271228,672,768,17275
2689273156,327,1437,12511
2689275108,2054,2038,16371
2689277044,532,1288,21404
2689278960,-1022,-74,15100
2689280900,979,-1897,10132
2689282832,332,-1719,13608
2689284768,-1271,-713,19320
2689286704,-3243,-109,19083
2689288648,-1309,335,13259
2689290592,2424,1287,16339
2689292528,-450,1740,16256
2689294448,11,1035,21068
2689296368,-472,1698,19363
2689298280,241,42,15766
2689300212,1449,-1299,17764
2689302164,2722,-1440,13992
2689304104,223,-1825,19919
2689306040,1081,-981,13703
2689307988,-1360,-1160,17407
2689309948,1505,-489,12271
2689311864,1113,5,14262
2689313784,-3232,1534,18700
2689315736,-1315,2117,14495
2689317684,2149,1755,16447
2689319616,1524,-397,15462
2689321552,1816,-858,14916
2689323492,-718,-1240,19108
2689325436,-1205,-753,13499
2689327376,2947,-783,13334
2689329324,-676,-1028,16391
2689331260,-2482,-148,13668
2689333196,-1232,964,15576
2689335140,1155,2200,16085
2689337072,618,2290,14688
2689339004,576,1296,18352
2689340940,-2727,-727,21352
2689342868,637,-405,14488
2689344788,-121,-875,17127
2689346740,3679,-1599,17356
2689348664,91,-1848,20239
2689350604,436,-1982,16166
2689352536,469,-1891,18133
2689354476,2282,-310,15047
2689356400,-2112,93,16710
2689358328,-971,1253,16757
