Timestamp,AccX,AccY,AccZ
82348,-44,-1538,17140
359684256,-2885,707,16040
359686156,-498,1884,15288
359688060,3220,3339,16104
359689972,1389,2197,14691
359691848,90,204,14335
359693748,-2854,-1792,19779
359695668,1484,-2334,14487
359697584,-1431,-907,17312
359699492,4111,-545,14644
359701384,1601,-769,16500
359703288,2049,-757,17896
359705168,-749,99,18108
359707064,-610,1073,13931
359708980,-1118,1576,16596
359710896,432,2138,13904
359712796,-1205,1277,21332
359714696,1539,109,16392
359716592,579,-2613,16719
359718508,-1662,-3580,15139
359720408,24,-3278,16991
359722300,-763,-2397,14460
359724216,1770,542,17011
359726116,4067,1185,13488
359728012,3847,869,14953
359729892,-3033,71,17536
359731780,-312,748,14808
359733684,-2781,1449,18908
359735608,1427,1711,15978
359737504,-302,-254,20631
359739404,413,-1615,15383
359741316,-2692,-2856,21656
359743240,1450,-1612,15092
359745136,1214,-92,16388
359747028,1748,440,13915
359748932,1312,1534,15648
359750828,42,2756,13403
359752720,1991,917,12876
359754588,588,369,17699
359756484,-548,1492,19279
359758380,-2228,614,17836
359760260,393,-81,14292
359762160,-129,-2707,16948
359764080,1114,-3443,14864
359765992,-3511,-3017,19984
359767924,1429,-1717,15723
359769836,1120,542,17652
359771736,3894,2134,10964
359773624,-86,1904,15372
359775528,-1635,1541,17487
359777424,-2955,3,18328
359779304,-659,-669,13488
359781196,660,-548,19327
359783072,-59,-934,15747
359784972,-619,-1581,19735
359786892,-2358,-1362,14480
359788820,2314,-1082,16276
359790728,2328,230,14915
359792608,741,1423,14631
359794516,1359,2377,16707
359796424,3441,3503,13664
359798324,420,2058,13567
359800192,514,-61,10013
359802108,-3789,-1202,20559
359804020,-940,-1146,17523
359805940,-2581,-2097,19111
359807864,2046,-2648,13904
359809772,143,-2365,19283
359811688,1775,-1395,15899
359813604,-1307,-321,18367
359815512,1883,727,14403
359817420,3933,2777,15858
359819328,1057,1897,12992
359821232,-2384,472,16772
359823148,-1549,-1359,19652
359825060,277,-2113,14991
359826968,-977,-1557,16335
359828884,1665,-1617,15894
359830796,-1059,-747,19943
359832700,1468,102,14564
359834588,1925,151,14827
359836484,3940,648,15444
359838392,-1120,1566,20791
359840288,23,2757,14742
359842180,565,2441,16260
359844080,1614,964,12974
359845988,-1313,-2724,15648
359847908,-1894,-2928,17040
359849836,-3793,-2533,20860
359851764,2217,-1195,16766
359853684,3672,-1292,14467
359855600,2866,-614,14517
359857484,1374,86,18037
359859372,-786,152,14598
359861264,1219,453,11250
359863152,167,1794,14865
359865032,-59,2565,17459
359866928,-3600,-292,18983
359868840,-497,-2691,14852
359870764,-3275,-4267,17535
359872688,-955,-2047,16887
359874600,-1370,-546,19679
359876516,2453,1025,20020
359878428,1979,2293,14280
359880328,3484,526,13752
359882204,198,363,14219
359884108,1047,1753,16079
359886028,-2720,1618,16293
359887936,282,2354,13376
359889804,826,34,14580
359891676,-21,-2967,14516
359893588,-3588,-4003,16828
359895516,-1969,-1989,17327
359897408,622,-68,17404
359899324,5281,1107,13904
359901232,2585,1035,14291
359903116,-411,115,17495
359905000,943,-337,14740
359906900,-1266,-220,16100
359908824,1554,1028,12283
359910712,-806,130,17411
359912628,-1136,-2034,16551
359914560,-4385,-3389,14677
359916488,-1181,-2377,16804
359918376,-35,-513,19555
359920280,4273,1247,16410
359922180,498,2184,16332
359924084,3549,2049,14220
359925992,4245,897,12719
359927872,427,153,14159
359929764,-3218,411,15455
359931660,158,1048,15908
359933536,913,39,15247
359935416,-875,-803,12791
359937320,-423,-2771,16571
359939248,-4782,-3143,19421
359941152,-909,-731,19315
359943044,723,1089,14635
359944948,5356,2340,16864
359946856,3079,1912,16787
359948744,1699,43,16304
359950636,-898,-1368,16043
359952540,-331,-901,12083
359954428,-799,-653,15528
359956320,-924,-500,13361
359958232,-2308,-2535,16724
359960140,457,-2965,15539
359962032,-55,-2195,18180
359963924,-602,-598,17372
359965820,746,1696,18268
359967720,3105,2648,17096
359969632,2631,2329,16452
359971536,1120,896,12230
359973432,2858,-376,15597
359975336,-3084,-842,16939
359977248,-1073,-292,16357
359979164,-1848,-876,17308
359981064,656,-220,15511
359982940,-169,-801,16331
359984820,93,-981,16944
359986712,-1663,-354,21051
359988636,3532,1540,17568
359990548,4090,2364,15616
359992448,959,2029,14032
359994324,127,104,17779
359996232,-1635,-1809,13607
359998144,-525,-2415,12810
360000052,624,-2640,13990
360001964,-1521,-1999,23080
360003888,-4118,-1632,13483
360005804,1429,-679,16051
360007700,3510,206,16677
360009588,2687,701,16195
360011468,-709,399,17463
360013372,2122,1294,16280
360015268,982,1744,15574
360017160,1685,787,11520
360019056,-2801,-533,16821
360020976,-1876,-1376,12151
360022900,-4858,-2182,19323
360024828,-2277,-1481,15596
360026740,1020,540,19172
360028628,1539,981,16940
360030532,3247,1617,19333
360032428,232,428,15032
360034320,2284,920,16236
360036212,2818,1068,16435
360038108,839,1255,16020
360039996,-529,-725,15440
360041896,886,-1934,15235
360043816,-2589,-3167,15573
360045744,-2409,-3453,15480
360047676,-2495,-2953,18972
360049588,-1676,498,21591
360051496,1392,2030,18464
360053408,4721,1957,13840
360055312,1981,331,18063
360057200,3215,889,14730
360059092,-831,-835,19348
360060984,2411,-210,9532
360062864,565,-785,11119
360064764,-452,-1052,12092
360066688,-3240,-1622,16924
360068612,-2476,-1183,15349
360070528,-672,-1328,16655
360072456,1279,1233,14044
360074368,2364,2746,16895
360076260,-223,2665,19232
360078160,1147,805,14599
360080040,340,-310,14719
360081916,2202,68,14527
360083808,-141,-915,16819
360085712,-803,-2125,12987
360087632,-1922,-2642,15732
360089560,1342,-1942,12719
360091480,-3074,-2384,18876
360093384,-721,101,16984
360095292,-1260,2145,22536
360097212,3177,2422,14764
360099120,5567,2293,17627
360101040,3494,1300,16587
360102940,104,-1354,18620
360104832,-896,-2250,12668
360106748,-572,-1732,14603
360108652,403,-1133,12189
360110552,1379,159,14809
360112444,-3055,-357,19844
360114348,-1330,-37,17872
360116244,1792,190,19227
360118140,1383,2201,15211
360120028,-38,2968,16211
360121936,3455,2301,17072
360123816,-10,-574,17886
360125724,2747,-2207,11160
360127616,95,-2849,13910
360129520,2323,-1501,13624
360131440,-1923,-1877,15186
360133360,-313,-1167,12280
360135268,-2590,-302,18138
360137172,1494,272,15960
360139056,-103,391,17915
360140972,-1985,1647,21333
360142892,1378,2558,18051
360144796,3959,1777,17512
360146696,1798,298,12695
360148604,-1420,-2966,14047
360150532,-1572,-3779,18384
360152456,-2863,-1893,15604
360154360,2090,-46,16656
360156236,656,856,14607
360158144,1660,1532,19528
360160036,-3124,-83,16423
360161944,1928,1028,16187
360163860,1393,1871,14900
360165772,2157,2841,17684
360167688,1358,1000,17932
360169600,3523,-1670,15099
360171516,-1758,-4206,15581
360173420,69,-2727,13052
360175328,-3647,-1397,17720
