Timestamp,AccX,AccY,AccZ
271091720,-1471,-463,14658
271093612,-780,-551,16844
271095516,2473,-140,14367
271097404,676,516,18739
271099296,1311,197,14603
271101184,-447,-839,20659
271103084,-1637,-511,14246
271104992,2938,-502,14176
271106880,388,-142,14992
271108776,-682,-1210,18430
271110688,-4087,-831,17488
271112588,695,-647,18223
271114480,720,-566,15124
271116360,956,-362,14728
271118256,-1697,-175,18667
271120168,3337,-513,14660
271122056,1180,-76,12811
271123944,3308,993,14012
271125828,1490,72,12412
271127732,-1334,-382,12435
271129628,-2219,-25,16620
271131532,-1037,1581,15997
271133432,-489,661,17879
271135304,-884,86,17310
271137200,-1761,-903,18692
271139108,-1852,-782,17420
271141020,4184,124,17603
271142896,1618,53,16792
271144764,841,-66,17424
271146620,605,-5,17948
271148508,1572,-186,16840
271150400,576,196,12868
271152312,1792,-1652,14308
271154240,-4128,-2098,16704
271156116,-558,-432,19248
271158016,-1427,-477,17392
271159924,1699,-643,17083
271161824,2233,-127,18381
271163728,1605,-154,19636
271165620,112,-200,16522
271167512,2127,111,14852
271169400,2586,632,13285
271171280,394,-166,13595
271173176,-1037,327,15767
271175068,-543,-251,18508
271176980,2555,1181,12318
271178872,-558,844,16150
271180760,865,-1287,13744
271182668,-1297,-782,19977
271184528,61,-7,15339
271186404,1689,-609,18599
271188304,5596,406,15428
271190180,478,76,18986
271192040,-972,-26,13204
271193928,-153,-295,17608
271195832,1915,-650,12443
271197736,-805,-1223,16020
271199648,-4227,-819,20239
271201556,-1627,463,19799
271203452,-622,-183,19651
271205336,753,702,17715
271207216,326,-350,16263
271209124,1970,-1020,18027
271211016,141,171,16300
271212896,4033,123,9555
271214792,2492,385,16404
271216684,1700,322,12955
271218572,-1810,-688,15932
271220476,-800,416,15780
271222360,-878,-140,16178
271224252,1726,-92,15031
271226148,-1581,-739,19427
271228056,-258,-232,18500
271229932,655,-619,19971
271231828,1385,105,16147
271233724,1705,-160,16477
271235600,392,-55,16451
271237480,139,-243,18703
271239368,-550,-464,14119
271241276,1781,-1237,15451
271243192,-3702,-908,15500
271245092,-269,454,19780
271246984,-2502,448,18131
271248888,1474,-204,16019
271250780,1036,-52,17571
271252696,2793,-1123,15352
271254592,-355,122,17159
271256484,2704,622,13020
271258376,1594,198,13447
271260252,2761,469,9171
271262148,-2459,-779,15587
271264056,-1532,705,16485
271265956,297,551,17043
271267836,-1545,27,17996
271269716,251,-163,15068
271271592,-749,-15,17404
271273480,847,-223,19543
271275352,-224,75,15199
271277252,3330,404,17835
271279136,725,-387,15607
271281020,1522,288,16747
271282912,-1691,-203,16741
271284816,852,-1583,14099
271286720,-2536,-756,14624
271288608,-432,-74,16411
271290496,-2359,-37,17608
271292376,-539,-115,17932
271294256,453,-31,18679
271296152,3619,282,12656
271298044,2979,-335,13028
271299932,228,440,17816
271301828,1139,723,14200
271303716,608,-442,14912
271305608,2509,-953,14372
271307500,-793,-219,17327
271309400,-2263,587,16418
271311308,-2155,-503,19731
271313200,1385,-41,12511
271315104,-2505,-154,17304
271317016,1139,207,18292
271318896,-336,-378,19397
271320792,1354,-118,16108
271322696,3588,-346,14168
271324600,2455,-752,14695
271326488,-942,-530,14787
271328404,-1812,-1708,16520
271330296,187,-1287,14838
271332188,-906,408,15867
271334080,1246,793,14909
271335980,-2820,-914,20320
271337880,174,-848,16619
271339768,817,-287,18750
271341660,2874,486,13750
271343540,472,738,16980
271345440,1807,-234,13554
271347332,120,-184,17671
271349212,3282,48,12099
271351108,-1502,-502,15128
271353008,-238,372,13036
271354904,-3952,-201,17327
271356800,-392,-910,15496
271358684,584,496,18463
271360580,2473,631,15612
271362460,2511,-43,20028
271364356,-1347,-461,17164
271366264,1044,-442,17787
271368156,2449,-129,15140
271370060,3531,313,14652
271371968,-2313,-1759,20056
271373860,-1583,-743,17639
271375756,-1099,87,17784
271377640,436,474,12163
271379532,-2175,169,15919
271381428,-125,-231,20555
271383320,-2656,-98,21924
271385220,3649,200,15294
271387104,1952,14,18176
271389000,4321,551,13236
271390896,1380,-142,16525
271392784,709,-423,11359
271394656,395,-975,10175
271396548,2144,324,12270
271398440,-2607,339,15859
271400344,-2294,-706,17282
271402252,1107,169,17479
271404136,-300,323,15948
271406012,366,-256,16342
271407908,-1963,-215,16903
271409808,617,-479,18028
271411688,239,-147,16236
271413572,2039,-19,15656
271415452,-3,-1766,16867
271417332,157,-1557,12291
271419240,-3920,-878,18157
271421140,-615,537,12475
271423020,656,110,18314
271424908,-570,512,17567
271426800,-991,-693,19384
271428688,983,-569,17643
271430580,1568,398,18180
271432460,4285,91,11303
271434340,2624,-90,16227
271436224,563,-378,17712
271438108,451,-317,16771
271439996,-631,-259,15159
271441884,1132,124,14732
271443784,-1630,-254,14199
271445696,-3492,414,19407
271447600,-2198,876,17760
271449500,1785,215,16004
271451404,1056,-222,15836
271453296,1788,-20,15320
271455176,-892,-208,17164
271457076,1549,-199,14250
271458988,1841,-1145,11836
271460904,1299,-2019,13440
271462832,-3743,-1091,17048
271464716,-870,-205,15396
271466588,35,-27,16171
271468460,471,-119,14368
271470364,1724,-1074,20224
271472260,-1577,-93,19012
271474164,1169,347,17696
271476052,1642,673,14635
271477952,5201,475,16003
271479836,425,-245,13271
271481724,2618,-462,16443
271483612,-622,-261,14556
271485500,2272,-98,14292
271487396,-1228,146,12934
271489284,-913,229,14339
271491180,-1916,244,16560
271493052,-777,25,19843
271494952,1255,-345,17556
271496852,3553,-143,16870
271498740,849,-445,18799
271500624,-322,-148,16339
271502524,99,-1469,15359
271504432,-1206,-1479,13553
271506320,2446,-692,14151
271508224,-2667,-345,17287
271510140,-2510,-146,19693
271512048,-1207,389,18380
271513932,610,-223,18436
271515836,-1531,174,18027
271517748,1531,1187,18384
271519640,-845,159,16557
271521532,3270,518,12230
271523424,4432,-335,11287
271525328,2668,-329,14692
271527204,103,-95,15711
271529104,-1519,267,14475
271530988,473,127,11999
271532856,179,-55,15753
271534748,-1874,263,19126
271536652,-1749,719,22336
271538532,821,65,15224
271540436,1260,-1024,17575
271542348,2613,129,16453
271544228,-161,206,21288
271546120,1316,-876,15863
271548008,30,-2152,17139
271549904,660,-1178,16283
271551808,-2421,-341,15435
271553712,-187,-604,13043
271555612,-5022,-365,16083
271557500,-284,474,18891
271559384,942,334,16499
271561264,836,368,15867
271563156,2756,-188,17087
271565064,1967,-499,15340
271566964,3383,133,13267
271568848,2754,-604,13451
271570752,1550,-108,14661
271572628,-753,-73,15624
271574512,-139,-688,15733
271576416,-1318,-142,16152
271578316,117,729,14660
271580196,-2939,89,21191
271582080,-1857,277,16741
271583972,-1063,-26,19583
271585856,2739,-94,14964
