Timestamp,AccX,AccY,AccZ
200,-195,597,17491
83727056,-291,-441,15534
83728924,871,-1245,15172
83730772,-46,-900,18808
83732628,-544,-438,15541
83734484,522,-290,15311
83736348,1666,-338,16283
83738204,927,-585,15459
83740068,999,-1179,14813
83741920,25,-944,15738
83743752,-78,840,15546
83745596,384,1288,14775
83747444,617,857,15372
83749288,-450,268,17594
83751148,-616,-114,18132
83753012,280,-554,16632
83754852,697,-255,16320
83756700,745,-443,13215
83758540,-519,80,18095
83760372,-46,723,14379
83762204,807,65,17183
83764056,1262,-324,15379
83765916,-594,-866,16903
83767772,-1047,65,15479
83769640,-1629,-149,18268
83771492,-77,-347,18044
83773348,1121,-722,18237
83775232,1187,-1422,14208
83777092,86,-1020,16284
83778948,147,-619,15511
83780784,9,-261,17387
83782648,2312,-1088,13919
83784524,1751,-569,15845
83786364,44,618,18028
83788208,198,830,15547
83790052,155,767,13140
83791896,672,734,16719
83793736,-1088,-46,17595
83795596,-360,-192,16487
83797460,-1267,-37,17943
83799316,629,201,15035
83801164,656,1014,17428
83803012,140,254,15631
83804856,942,-141,16867
83806704,364,-408,16419
83808560,-198,-846,16096
83810412,204,-160,15204
83812240,5,267,16259
83814076,-1364,-46,16947
83815936,464,-502,16571
83817776,94,-782,16075
83819632,622,-1024,16108
83821488,217,-600,18108
83823348,1388,-636,18471
83825204,121,-165,16935
83827056,1218,26,14351
83828892,567,37,15378
83830732,-350,346,16352
83832584,-133,477,15371
83834424,-56,492,17204
83836272,1142,275,14556
83838124,418,827,15955
83839960,-265,-185,14047
83841836,-1102,-672,17959
83843700,452,364,16843
83845548,-387,-125,15968
83847424,1379,383,15784
83849288,1216,328,16620
83851148,297,-1593,16280
83853008,-538,-615,14564
83854868,-383,-463,16767
83856728,-204,154,17734
83858576,184,-16,15796
83860416,667,-227,16740
83862272,-247,-753,18156
83864156,1295,-1193,15711
83866020,496,-516,17044
83867888,1347,-619,13996
83869748,603,-279,18141
83871600,2293,-197,14614
83873460,173,-237,17118
83875308,1430,22,13819
83877152,-325,287,16919
83879004,-734,254,13507
83880832,-8,752,15140
83882676,-700,168,14219
83884524,154,-484,17403
83886380,-268,-814,16249
83888236,815,-407,16591
83890088,512,896,17116
83891944,2123,149,14541
83893784,425,-89,14988
83895624,947,-696,13903
83897480,-34,-1070,19484
83899336,-101,-332,16135
83901192,-203,-863,15531
83903052,1208,-28,14928
83904904,-679,-371,17158
83906772,-352,-462,17547
83908644,495,-1251,20436
83910488,930,-770,15079
83912344,1227,-15,15043
83914180,90,270,15564
83916040,647,1183,17487
83917888,481,455,14607
83919724,1829,-31,14080
83921572,475,315,14395
83923400,346,40,17092
83925260,-1633,683,14419
83927124,-1507,864,16637
83928976,-118,-430,17003
83930832,912,-306,14344
83932688,694,-742,16375
83934532,-89,-107,16991
83936380,-394,-56,17411
83938232,265,-287,13040
83940084,690,200,16818
83941920,-20,-827,16996
83943780,200,-1303,15460
83945644,-201,-877,16944
83947496,858,-180,18148
83949336,15,-627,17252
83951180,-292,-714,16831
83953028,99,-815,15885
83954876,215,-827,18831
83956732,1027,691,17562
83958608,1303,1047,16308
83960472,1741,844,12663
83962316,57,827,17052
83964152,-116,-30,13171
83966008,-353,-445,15343
83967860,779,153,14451
83969708,-1175,89,16020
83971556,-1833,49,16279
83973404,-726,179,16721
83975264,1057,433,16431
83977112,547,-207,16809
83978972,984,-148,17276
83980796,6,-34,18574
83982624,532,176,17662
83984472,948,-450,14859
83986336,1375,-1015,16362
83988208,867,-1241,16776
83990080,-1036,-577,15628
83991928,441,81,13928
83993764,71,-217,16731
83995596,574,-460,16591
83997440,-74,-782,17292
83999288,847,-567,16339
84001144,-518,240,15991
84003024,1550,1180,13664
84004884,1412,485,15128
84006732,985,576,12702
84008564,-85,-299,16292
84010416,-524,-928,14519
84012284,-292,-716,15484
84014116,-89,75,13383
84015956,-296,336,17860
84017804,-943,381,16821
84019652,244,-294,19244
84021504,300,-384,16135
84023340,1053,-2,17679
84025152,-21,24,16777
84027016,1699,-391,17587
84028884,1092,-698,14687
84030752,1281,-543,16159
84032608,143,-853,16660
84034440,-357,-19,16055
84036300,-1304,-948,17048
84038176,-1162,-881,16867
84040040,691,-621,13744
84041900,608,-150,16989
84043732,11,459,15043
84045588,-392,1272,17816
84047464,1494,1104,16647
84049332,2045,649,14268
84051172,1657,5,16228
84053024,-302,-720,14140
84054888,-1413,-198,14960
84056756,-1687,373,15052
84058616,-345,885,16581
84060468,506,564,17163
84062312,508,-286,18944
84064156,-34,-452,15719
84066024,-600,-1110,18146
84067884,928,-524,15124
84069736,274,508,17505
84071584,1890,16,16464
84073420,415,-505,18304
84075284,841,-1349,15417
84077152,-361,-1489,13194
84079004,-79,-617,13873
