Timestamp,AccX,AccY,AccZ
2656,632,-986,16780
4352,333,-884,14665
6172,-1785,-1104,17908
7996,830,-375,15180
9724,-1389,-352,17075
11460,1154,23,12820
13180,197,495,17576
14928,-345,1179,15266
16680,54,1038,17263
18424,1304,682,11880
20172,1001,777,15923
21904,60,522,14915
23640,759,371,14195
25372,-925,-419,16419
27128,-493,485,15108
28884,-1213,473,16247
30636,277,881,17112
32368,-13,354,19319
34096,-23,-594,17224
35832,-55,-920,17208
37580,534,-911,16424
39348,1579,-553,17988
41108,499,-563,18700
42868,1193,-443,16987
44636,1187,-723,15016
46404,-189,-1233,14223
48164,740,-886,13623
49912,-262,-630,17675
51672,-132,-658,14106
53436,-1845,-59,15372
55180,98,828,14071
56916,-74,1206,19909
58680,1839,875,14070
60424,636,-208,17631
62164,-258,-96,13941
63892,22,366,14751
65624,955,552,13699
67356,856,616,16676
69080,-219,90,15300
70808,-428,59,18039
72544,138,1172,15103
74280,27,787,17411
76000,972,-8,16412
77720,-119,183,19595
79456,-96,-478,17567
81204,-913,-499,18855
82964,1843,-99,15975
84712,1495,-843,17299
86456,60,-520,16196
88208,869,-595,15739
89956,746,-653,18619
91720,1154,-890,15980
93456,-5,-519,14128
95188,581,373,14012
96940,-1139,747,17031
98692,-185,541,14491
100448,101,1507,17383
102220,555,383,13547
103996,341,-407,15755
105776,-1065,77,16140
107544,371,509,16463
109304,711,-15,13579
111068,890,70,15748
112844,622,-624,15579
114624,-310,-224,16160
116404,-472,-28,17315
118168,64,254,18635
119948,1116,584,16775
121720,-260,-382,16807
123508,785,-413,16348
125304,-345,-1511,19479
127192,1190,-1136,16012
128924,1233,-1207,15998
130636,1552,-12,13904
132332,149,13,16392
134020,-795,-411,16019
135716,-174,-30,15008
137428,-421,-526,14364
139128,512,-515,13951
140824,-475,-31,14567
142552,-1065,1617,15847
144272,-584,1802,18255
145988,-193,1357,16286
147700,960,192,15863
149400,314,-476,14735
151108,1004,-100,17508
152828,-420,-137,15627
154528,-255,-71,14760
156232,-120,204,15651
157936,328,482,16200
159628,1171,55,15387
161332,-859,-331,18396
163036,38,-534,15260
164744,-1197,-676,16523
166460,-182,-280,15964
168164,372,57,18064
169852,-287,-533,17318
171560,812,-850,16071
173272,-16,-1054,14942
174964,974,-46,14332
176680,1308,-192,14779
178392,481,-885,13948
180084,-46,-1138,14679
181800,-393,-915,15544
183504,781,51,15652
185196,-1014,548,15156
186920,-155,1789,15396
188648,-478,1218,16956
190324,490,0,17003
192004,181,-840,14752
193708,-113,-363,17351
195424,1101,979,14727
197128,629,305,17747
198832,646,416,14995
200520,376,258,16688
202208,35,-389,15995
203932,1099,-1283,17071
205644,-1399,-51,16708
207368,-1075,-575,17375
209096,-833,-105,16864
210800,219,431,15756
212496,446,-692,18684
214204,278,-994,14939
215904,784,-398,17460
217604,-763,113,17020
219324,1738,-117,14691
221036,1124,-552,14860
222760,1568,-790,13897
224472,60,-1170,14023
226168,-205,-641,15860
227872,396,892,13726
229588,-812,1352,16860
231288,483,973,13600
232988,-427,170,17139
234700,-536,153,17519
236392,-155,235,18115
238092,1210,26,13754
239788,1169,-3,15407
241480,433,-577,16055
243168,946,48,15163
244864,-1124,264,16276
246572,-387,106,16012
248288,1596,-512,14919
250004,303,-311,17180
251708,-362,-646,16736
253432,-1898,-210,18847
255152,-980,388,18047
256828,5,-891,17080
258532,1193,-907,15784
260244,817,-879,15171
261936,-665,407,18068
263648,1261,-103,17196
265364,-666,-974,17030
267092,1236,-1348,12224
268820,155,-1045,15456
270524,881,67,14123
272212,-460,368,18160
273912,-738,295,17968
275620,833,899,15835
277296,-67,715,14864
278996,-403,155,16899
280704,-270,-364,18832
282408,262,-578,16230
284124,1780,-844,18524
285844,1641,913,15684
287532,1168,-2,15953
289228,757,595,15251
290924,600,-178,15388
292608,42,-678,13254
294304,-321,-411,16572
296012,297,231,12640
297716,-1448,452,18692
299440,-1448,283,15723
301152,151,-883,18310
302860,646,-1986,12103
304576,-126,-560,16227
306284,-517,-247,16088
307988,730,-994,14376
309692,920,-860,18149
311392,1912,-47,14787
313100,1223,616,15547
314784,730,88,13256
316476,-787,961,18315
318152,220,-6,13877
319856,1030,-314,15572
321572,331,447,13711
323260,519,129,17675
324960,254,-301,14723
326652,-1506,10,19300
328364,385,-1109,15111
330076,-119,-317,16711
331796,1225,211,14739
333480,408,-34,17588
335176,754,-480,12807
336888,-1193,-535,15885
338608,-566,276,17248
340296,726,-84,16520
342000,-1134,-264,16795
343716,-709,-339,17181
345440,-1296,-572,18827
347168,1546,-696,15983
348888,1429,-781,18884
350596,990,-904,15403
352300,455,-923,16482
353992,329,-300,15683
355696,2021,-39,15083
357396,441,227,14556
359100,1260,718,16444
360804,-767,455,15624
362508,-666,220,14979
364200,284,230,16171
365892,-649,-28,14023
367588,403,-709,16331
369292,321,177,15908
370988,-531,-143,17996
372684,-21,475,14959
374380,191,791,16220
376092,1925,679,11611
377780,334,-25,17996
379492,1298,-448,15202
381212,-860,-1076,18392
382924,-900,-606,13807
384612,-55,41,18209
386296,379,437,15210
387984,288,-829,16018
389700,-987,-1539,18640
391408,62,-831,17143
393112,345,-1229,18843
394832,1297,-243,14684
396552,436,-1056,16485
