Timestamp,AccX,AccY,AccZ
511016364,1965,-381,15878
511018252,1074,71,14435
511020148,3685,-569,12572
511022052,-2262,-1338,16635
511023948,-1906,-566,12132
511025860,-1399,-275,17828
511027768,3022,294,13068
511029664,1466,168,15976
511031564,-1846,-212,20187
511033488,-1533,-1193,20644
511035380,1198,-980,14357
511037280,3549,308,17524
511039164,720,912,17260
511041040,556,22,14756
511042916,405,-747,13944
511044824,2037,-375,10755
511046724,-1351,222,13916
511048616,-622,771,16412
511050512,-2976,326,21296
511052380,-52,48,13563
511054260,-605,-269,18700
511056160,3704,586,13736
511058048,233,-524,17824
511059936,1781,-805,16243
511061836,-390,-1074,17515
511063756,1372,-1102,13796
511065656,-326,-748,15340
511067568,-1293,-1237,12063
511069476,-3417,-1329,17839
511071376,-1089,-531,16403
511073276,1345,603,17923
511075152,-347,-67,14771
511077056,2940,-1125,16935
511078976,-1227,-1369,16568
511080872,2156,-594,16635
511082772,2242,542,17332
511084676,4096,1210,13892
511086564,-961,-604,16516
511088456,545,-383,10634
511090352,-2907,-285,16707
511092260,1075,661,15475
511094152,-834,1022,19551
511096060,-1614,669,19052
511097952,-512,502,19332
511099848,3436,178,15764
511101736,1644,-74,17483
511103608,15,135,18952
511105488,706,-783,19048
511107388,-712,-1622,15294
511109308,3189,-629,10689
511111172,-57,-63,17971
511113052,462,-188,16143
511114960,-3920,-1062,18294
511116840,807,-467,14463
511118724,658,628,18296
511120616,760,682,14106
511122500,216,-580,22247
511124400,1440,-702,15820
511126288,550,-828,15831
511128180,3869,392,10779
511130064,366,272,12646
511131940,283,247,16037
511133828,366,272,14367
511135708,-709,321,13828
511137608,-1614,-101,13988
511139508,-257,-239,18912
511141420,-1298,1656,21019
511143332,-2120,482,17375
511145232,4012,238,15556
511147104,-16,-410,18651
511148980,1841,-9,17232
511150856,-63,-783,19415
511152752,1776,-866,16156
511154644,-872,-470,14995
511156536,2176,10,12295
511158440,-1344,-313,16843
511160348,-1978,-720,15860
511162240,-542,-828,18951
511164120,228,-76,14652
511166012,1801,615,15631
511167904,-565,134,19195
511169792,-804,-462,18167
511171684,344,-564,13009
511173580,3457,-495,14372
511175484,567,1247,18968
511177380,-2614,564,16472
511179264,-589,17,16310
