Timestamp,AccX,AccY,AccZ
2006308,-1197,-843,12668
2008060,-1303,-749,17360
2009824,-2102,-234,16723
2011580,1812,916,15416
2013324,2959,443,12883
2015052,310,-678,16744
2016804,-581,-1301,17816
2018564,894,-1062,15336
2020316,1498,-866,14431
2022064,1842,86,13195
2023804,1137,513,16488
2025556,-2074,335,17596
2027316,-2095,-1090,16379
2029100,-1178,-1520,16336
2030856,841,-804,15088
2032588,-133,684,18844
2034336,645,1339,16323
2036096,1504,1276,17930
2037840,-490,-410,12528
2039588,3449,-277,11032
2041324,-235,-97,14972
2043080,1533,605,12463
2044804,502,412,16587
2046512,0,404,12964
2048228,607,893,16132
2049968,1240,-192,14363
2051740,-1009,-1408,18167
2053520,-3894,-1908,19236
2055276,-346,-158,18020
2057016,248,806,19256
2058752,3616,389,17576
2060504,1659,-768,16860
2062252,-747,-796,17632
2064008,777,-1885,16095
2065764,-563,-1017,15176
2067512,2617,79,13518
2069232,-987,783,17019
2070984,2389,831,14084
2072736,-2834,-684,17487
2074488,-1795,-397,15700
2076248,-494,-1166,17988
2077988,-198,96,14016
2079732,1539,1327,16748
2081492,-539,2291,17803
2083248,3208,972,18055
2084984,532,-836,12635
2086716,1889,-73,11306
2088460,-1162,130,16519
2090220,-1930,588,16643
2091976,1152,690,13563
2093716,-383,715,17072
2095452,174,-404,13940
2097204,-1983,-803,17539
2098968,-1720,-1298,18002
2100748,-2190,-1286,20828
2102524,3720,-686,16947
2104276,3900,840,17563
2106008,281,-173,16489
2107760,1741,-415,17432
2109528,1079,-1351,16028
2111288,2256,-1716,15212
2113052,-1282,-770,15436
2114812,1782,592,15783
2116564,-1687,1367,18147
2118320,-1599,407,17312
2120064,331,-757,13213
2121812,-682,-1188,16875
2123544,-947,79,14856
2125296,-1793,1053,17491
2127076,2086,2043,16156
2128844,1402,1020,17451
2130600,1712,-523,11504
2132360,1865,-887,14056
2134116,-1752,-445,15584
2135856,-177,361,16920
2137600,-1938,578,14780
2139364,1051,851,14575
2141112,-1473,533,18136
2142856,-320,-360,15647
2144628,-1434,-1532,16411
2146388,86,-2030,17899
2148128,1041,-555,17384
2149880,3633,843,15004
2151632,4428,404,17704
2153352,-1,-1221,17867
2155104,1254,-1848,14129
2156868,-673,-1221,15915
2158616,114,-206,12928
2160348,-271,542,15916
2162092,-315,1758,16106
2163852,-1797,628,17435
2165616,-3626,-1313,14916
2167388,426,-1481,13675
2169132,771,-534,16787
2170876,-406,1610,17151
2172640,1768,1686,17419
2174384,638,330,15900
2176128,2463,-109,13166
2177876,243,-1459,16324
2179632,1156,-372,13364
2181392,-1618,-270,17043
2183132,519,845,13316
2184868,-174,1226,17236
2186620,1912,638,16092
2188372,1409,-647,16583
2190136,-3436,-2146,19828
2191912,-268,-1696,17699
2193664,375,-843,16372
2195400,2712,800,14433
2197144,1681,757,14056
2198880,411,-464,16127
2200628,275,-1645,14867
2202380,-850,-1155,12327
2204136,2050,-584,11476
2205900,-2635,559,17556
2207652,556,1526,14507
2209396,-1699,615,18253
2211156,1176,-166,15223
2212908,659,-1279,19323
2214652,-326,-720,15028
2216392,259,937,19345
2218136,248,1854,14772
2219892,3870,2034,16221
2221636,605,-211,14956
2223396,2251,-1259,10079
2225168,-3572,-1106,14523
2226928,-2528,-312,18291
2228680,210,208,15891
2230412,306,572,17972
2232144,904,1484,16002
2233896,1260,-851,19635
2235672,-1008,-1430,19136
2237456,-1541,-1470,19687
2239220,2213,-487,15993
2240964,3820,26,14524
2242700,433,595,17152
2244420,1933,-63,16340
2246156,-463,-799,15223
2247916,-693,-1327,13063
2249680,-2361,-681,15303
2251424,140,230,14126
2253176,-1798,1184,15640
2254932,285,1757,16875
2256672,1944,-540,17644
2258440,2604,-1518,15988
2260204,925,-1263,16100
2261940,-840,28,18867
2263692,3236,1264,16819
2265460,1990,1432,16292
2267216,3013,-101,14019
2268968,-560,-1365,14668
2270740,-3836,-1213,17163
2272512,-3351,272,15691
2274264,-3514,-194,15823
2276024,1007,636,11975
2277772,952,1042,19024
2279508,317,-137,17331
2281252,687,-1891,17348
2283020,-2355,-1323,14580
2284812,3000,-1144,15578
2286560,1757,769,15696
2288316,3101,1095,15036
2290060,717,675,15790
2291788,-708,-580,14756
2293540,-554,-1110,12584
2295292,578,-888,15247
2297032,141,-301,16492
2298776,-3155,711,19495
2300532,613,1181,16639
2302256,630,-84,20588
2304004,3382,-1096,14461
2305756,269,-1528,16315
2307516,-1035,-902,17232
2309284,-151,1104,18451
2311048,1223,1086,15715
2312804,3137,839,15140
2314552,-1846,-994,16332
2316304,-279,-797,14700
2318056,-4678,-654,16187
2319816,-1646,752,17579
2321580,1202,828,17499
2323312,689,537,15547
2325044,2023,915,16311
2326784,-716,216,16623
2328536,1360,-1446,16991
2330312,3531,-1481,14476
2332068,3311,-655,13132
2333812,-482,162,15644
2335544,263,545,15136
2337276,724,-369,15675
2339016,-891,-738,17104
2340764,703,-1508,12816
2342524,-244,-1492,19420
2344284,-2310,-234,19263
2346016,-56,711,20223
2347760,2034,1380,18015
2349516,2525,-339,17828
2351272,-527,-487,15559
2353032,2592,-1804,16232
2354804,-1856,-1120,18504
2356560,927,521,13607
2358304,557,2121,14636
2360052,1533,1123,14292
2361808,-1617,-297,15539
2363576,-2371,-755,16271
2365328,-1171,375,16326
2367064,170,-40,15676
2368804,1402,644,12792
2370536,602,476,18179
2372276,2777,594,16083
2374024,1659,-639,17383
2375784,-438,-1728,13351
2377544,2054,-1277,17260
