Timestamp,AccX,AccY,AccZ
1531693120,2269,951,14031
1531695040,729,-423,15388
1531696960,770,-55,15362
1531698864,121,-69,18441
1531700788,1855,145,12807
1531702728,-1391,227,12622
1531704656,-366,-875,17736
1531706600,-3268,-840,15420
1531708544,-1719,-567,15120
1531710484,894,-2250,16852
1531712400,392,-313,16281
1531714332,-307,-479,19503
1531716252,727,-467,16148
1531718180,428,960,18579
1531720116,3596,1173,12045
1531722040,1028,-94,13736
1531723972,229,-381,10534
1531725888,35,-931,15032
1531727808,-708,-363,15006
1531729720,54,-282,13180
1531731640,-284,-862,17483
1531733568,-304,-480,19723
1531735504,-2796,145,19895
1531737448,4270,526,14072
1531739380,338,402,16595
1531741308,2021,785,16315
1531743220,-876,-57,17375
1531745156,1904,370,16579
1531747060,-910,-2,13931
1531749000,1328,-1432,16716
1531750956,-2897,-1788,18899
1531752896,-842,-668,19740
1531754832,-1763,-719,17651
1531756784,1639,-127,15528
1531758712,-1220,91,20211
1531760652,2420,186,19461
1531762568,906,940,18556
1531764496,3565,879,11615
1531766420,703,-121,12768
1531768348,1530,28,12039
1531770292,-2736,-1036,16055
1531772228,-1398,-12,12645
1531774160,-389,-925,12255
1531776096,188,-1006,16016
1531778004,367,81,18028
1531779920,-1871,783,18103
1531781844,818,596,18323
1531783772,3245,963,15528
1531785700,2167,707,15724
1531787640,-1155,-231,17388
1531789556,407,-96,16662
1531791492,-818,-1460,14760
1531793432,398,-2142,15563
1531795376,-2428,-1502,17240
1531797340,-3058,-1629,19003
1531799304,-1570,-1270,17367
1531801248,1952,144,15412
1531803176,717,-287,17724
1531805112,3020,358,15395
1531807032,397,791,19447
1531808964,2275,933,11663
1531810896,1932,110,13331
1531812832,3863,-275,11782
1531814784,-2035,-1895,16835
1531816724,-673,-563,13951
1531818648,-760,-564,17452
1531820584,958,1070,13955
1531822504,475,141,20211
1531824432,-2087,193,19425
1531826356,649,187,18837
1531828284,2384,896,15092
1531830212,1828,764,13627
1531832144,131,-673,15380
1531834088,141,-1405,17315
1531836032,-3520,-1520,17103
1531837992,1401,-1345,10771
1531839952,-1184,-1364,20552
1531841888,-791,-332,19771
1531843824,-2459,105,21164
1531845764,2399,251,17831
1531847696,2616,109,14660
1531849624,1400,758,14466
1531851560,-1107,905,22387
1531853508,3087,1185,14596
1531855436,313,-192,13926
1531857376,3093,-891,11123
1531859324,-2703,-1411,14132
1531861276,-2471,-919,15671
1531863224,-1022,-629,16077
1531865156,536,548,17859
1531867064,-140,20,15931
1531868984,864,906,18776
1531870916,-1132,365,19680
1531872864,3052,1504,17292
1531874800,3877,611,15847
1531876716,-11,-147,16003
1531878668,-1134,-1600,17324
1531880628,-945,-3045,17018
1531882576,-377,-1703,14360
1531884528,1062,-1213,12252
1531886472,-1595,-677,19664
1531888404,-1334,-20,15463
1531890328,817,389,19248
1531892260,1679,529,16859
1531894192,957,1449,17343
1531896128,134,1130,12383
1531898048,1531,-3,18460
1531899964,199,-800,13160
1531901900,2307,-883,15204
1531903824,-822,-932,14888
1531905768,1156,-352,15092
1531907708,-4134,-541,15483
1531909640,1056,-76,14596
1531911536,2,274,16212
1531913412,-194,754,18899
1531915336,-960,676,19860
1531917268,2256,528,17511
1531919204,2121,-663,15915
1531921128,3752,-92,16591
1531923068,-770,-1912,22844
1531925024,-1943,-1438,14311
1531926984,-3311,-1539,15956
1531928920,-103,-537,12843
1531930860,-1039,291,18003
1531932792,-1049,391,17220
1531934732,-1205,-475,19652
1531936680,3395,1057,15500
1531938624,1882,1844,17420
1531940548,561,487,14132
1531942480,2673,-517,16552
1531944408,88,-1904,15976
1531946356,2414,-1043,14323
1531948288,1581,-75,13076
1531950208,789,-125,18556
1531952140,-4162,-44,18284
1531954044,-64,880,18139
1531955956,372,914,19784
1531957884,1091,587,15383
1531959808,-1826,80,21764
1531961732,-674,178,17680
1531963648,962,28,17831
1531965580,1827,-1015,14975
1531967520,469,-2457,17245
1531969472,-1103,-2151,14572
1531971424,-2994,-710,19595
1531973356,509,903,13722
1531975272,-442,672,19411
1531977212,1049,191,16208
1531979148,-1521,-505,19683
1531981088,1363,389,17668
1531983040,3087,1427,15278
1531984972,4265,563,12567
1531986916,1154,-1312,13131
1531988848,-98,-2152,13219
1531990748,575,-1,12528
1531992664,1607,509,11963
1531994576,322,22,14636
1531996496,-3542,-294,21663
1531998436,-407,-103,16367
1532000368,2618,921,20343
1532002280,239,985,15829
1532004212,-1118,484,18636
1532006152,1038,-440,18792
1532008044,-61,-9,19992
1532009968,3138,-1512,11391
1532011912,-623,-2455,15578
1532013856,485,-1253,12882
1532015804,-1816,-932,15175
1532017712,439,-5,13539
1532019620,-1145,433,18148
1532021560,1983,131,18611
1532023484,-708,630,19923
1532025432,3045,1629,19776
1532027368,1541,821,16163
1532029280,4067,-5,14468
1532031224,1712,-1961,12356
1532033176,-1080,-2124,16772
1532035116,-615,293,14047
1532037056,-1236,-158,12936
1532038988,-408,-412,14775
1532040920,-583,-795,15836
1532042852,-1566,346,21131
1532044776,-967,945,17256
1532046688,20,528,16504
1532048584,-25,345,16787
1532050504,772,-170,19855
1532052424,215,-435,14591
1532054360,506,-2016,14756
1532056308,1084,-1596,11835
1532058256,775,-1275,17096
1532060188,-2943,-413,16691
1532062132,1775,154,15115
1532064068,-1885,633,17120
1532066012,1984,380,14776
1532067936,165,540,19763
1532069868,1789,1271,19535
1532071784,-45,-105,17519
1532073724,2187,-711,14979
1532075672,1245,-1566,15956
1532077604,2019,-75,11491
1532079544,-1102,-356,16212
1532081476,-283,385,13748
1532083424,1046,-377,15544
1532085344,-773,937,15174
1532087272,-1789,879,18771
1532089200,268,536,18076
1532091116,862,-529,17980
1532093052,3062,164,15819
1532095000,1199,-1067,16432
1532096948,-392,-1256,17004
1532098884,-680,-1477,16183
1532100848,-1103,-1543,13271
1532102796,2408,-752,16292
1532104728,-1693,125,15139
1532106652,-572,616,19100
1532108580,-366,480,14957
1532110528,1654,1116,15627
1532112452,-728,188,16324
1532114388,2567,-170,15323
1532116312,-892,-896,18478
1532118256,3561,-821,12244
1532120200,3321,-1077,13669
1532122128,790,644,14535
1532124028,552,88,17855
1532125936,-516,-228,15259
1532127872,-2190,-152,14808
1532129824,1613,1350,14964
1532131768,-2144,1386,19484
1532133716,-1072,440,17767
1532135648,-73,-1079,18152
1532137568,808,-214,14944
1532139492,416,-172,18455
1532141440,1259,-1331,16759
1532143384,-789,-1948,19951
1532145332,435,-1545,13163
1532147264,2078,168,17078
1532149188,442,726,14694
1532151112,-2061,179,15941
1532153056,-1053,137,18252
1532154992,788,1334,15803
1532156904,452,144,15380
1532158832,2863,-998,13034
1532160768,-896,-1446,20387
1532162700,537,-967,15664
1532164616,825,-325,14143
1532166552,4560,369,13411
1532168484,-1674,-670,18019
1532170420,-381,-435,20255
1532172348,-717,519,14624
1532174284,670,1668,15706
1532176228,-1446,1140,16823
1532178144,-350,68,21766
1532180076,-2789,-563,23204
1532182020,3506,-683,16551
1532183956,1893,-591,17695
1532185904,2396,-1540,14204
1532187840,96,-2325,15483
1532189768,-203,-523,14936
1532191696,1252,534,10318
1532193628,2790,400,14103
1532195564,-2468,393,16076
1532197492,-2978,43,19912
1532199424,1092,538,14095
1532201364,1287,-263,12615
1532203308,2009,-1134,16301
1532205268,-1884,-1072,18364
1532207220,-1786,-870,18316
1532209144,1022,454,9599
1532211068,4730,-292,14787
1532212980,-52,-312,15440
1532214920,-1498,-276,17988
1532216864,-2053,879,17931
1532218808,1737,2196,14924
1532220728,522,778,13983
1532222652,517,-405,19811
1532224604,-1773,-1409,16669
1532226552,1248,-944,17931
1532228476,-271,-679,16012
1532230420,3296,-1402,14983
1532232352,-420,-926,18688
1532234284,1754,-171,17019
1532236212,532,356,14236
1532238136,1601,325,13092
1532240068,-1206,-80,19144
1532242000,-1725,881,14248
1532243936,-2570,-376,21739
1532245876,1558,-1266,9761
1532247824,2525,-1032,17615
1532249752,1824,-30,15792
1532251680,885,379,17116
1532253604,2191,535,12515
1532255540,3011,-289,13071
1532257480,3008,-556,10257
1532259416,-2619,115,15243
1532261344,-1742,868,16706
1532263280,356,1105,15605
1532265220,-1255,-409,17287
1532267148,713,-825,16024
1532269080,-1642,-876,19707
1532271000,906,-97,16275
1532272928,-433,-1659,17917
1532274892,2600,-1252,15036
1532276824,-657,803,20524
1532278752,1790,197,13301
1532280668,1211,-17,17647
1532282604,1763,321,12460
1532284540,-1930,-346,16083
1532286468,172,861,17892
1532288404,-2209,-353,17195
1532290336,-50,-1144,12075
1532292284,1571,-1187,16520
1532294216,1751,-14,16500
1532296136,417,321,19304
1532298064,1369,489,13743
1532300004,1212,258,14635
1532301944,2616,370,13840
1532303892,-1236,1218,14092
1532305844,-2165,1131,16864
1532307764,-927,56,15160
1532309700,-1393,252,19331
1532311636,-306,-1140,13623
1532313564,-29,-1099,18038
1532315508,1000,-2019,18116
1532317460,1038,-2196,17499
1532319404,3425,-523,13704
1532321324,881,801,12940
1532323248,1628,805,15132
1532325172,-405,401,17269
1532327112,1048,164,15624
1532329032,583,593,13051
1532330952,1380,608,16023
1532332892,-2758,-610,20052
1532334828,-471,-551,15731
1532336752,-924,-726,16891
1532338684,2669,-591,16030
1532340612,127,-259,15492
1532342540,3493,-431,15668
1532344472,-139,-359,13264
1532346404,2011,796,13144
1532348352,-2596,1264,16859
1532350292,436,1316,14512
1532352236,-3543,-731,15440
1532354184,-1950,-1262,17112
1532356136,1049,-907,18776
1532358068,1362,158,20767
1532360004,1252,-967,18772
1532361944,569,-1490,15084
1532363880,1997,-933,17031
1532365816,2781,-413,13647
1532367736,562,444,18343
1532369656,-330,507,12899
1532371572,687,-349,15692
1532373500,-207,-219,11283
1532375436,685,-1283,13913
1532377372,-1272,-691,17720
1532379324,-1793,239,20172
1532381248,-755,639,17539
1532383172,3629,295,13824
1532385080,762,34,16676
1532386996,2377,465,14720
1532388924,-328,-462,21300
1532390860,948,1126,11992
1532392772,-500,83,14652
1532394708,793,-1191,14668
1532396660,-2954,-1344,15292
1532398600,-424,-259,15908
1532400516,-1348,20,20195
1532402456,1600,268,18899
1532404388,291,-1367,18947
1532406316,-774,-846,15168
1532408252,1470,566,20073
1532410180,3780,804,13284
1532412100,-256,38,16595
1532414032,-2497,-701,13886
1532415968,-1011,-965,17832
1532417904,-661,327,12968
1532419840,1091,-731,18262
1532421776,-366,-1228,16576
1532423724,-1135,-195,18869
1532425676,-2814,-100,16708
1532427624,4388,886,14931
1532429568,1004,597,15008
1532431500,1989,341,15168
1532433420,670,234,12383
1532435340,1955,845,16552
1532437268,-1221,78,13839
1532439196,1516,524,14180
1532441136,-4318,-892,16767
1532443092,-1888,-1344,16056
1532445040,-2239,-585,20348
1532446972,337,145,17440
1532448904,1909,-913,18951
1532450836,1281,-693,16203
1532452748,178,320,20380
1532454676,2705,-139,11408
1532456596,517,487,17166
1532458516,288,440,14572
1532460456,-2634,-1166,17534
1532462392,-966,-340,16735
1532464316,-838,-70,12736
1532466256,1604,-114,16936
1532468176,-612,441,19160
1532470112,1165,-115,19067
1532472048,1599,393,15167
1532473980,4480,168,11796
