Timestamp,AccX,AccY,AccZ
1988,-1524,17667
1979944,1919,-2097,11430
1981708,-837,-2087,20912
1983472,-1413,-1023,16184
1985248,1182,1469,15477
1987012,3954,1161,13167
1988772,1469,-331,14886
1990520,1528,158,11364
1992264,-1478,-154,16312
1994028,-869,1078,15452
1995792,2183,2331,14660
1997532,-692,160,18159
1999276,521,-1681,16124
2001032,-856,-2122,21096
2002800,2320,-1724,13259
2004552,1949,-97,18658
2006296,2916,412,14847
2008028,706,-134,21015
2009780,-520,-1112,14408
2011536,590,-1648,16263
2013276,-986,-164,12662
2015024,1620,432,15475
2016780,-2032,1198,14516
2018560,-3320,2056,21803
2020304,-2574,52,19036
2022060,1344,-2111,17807
2023832,1242,-2050,16140
2025592,-421,-2084,18140
2027348,1033,-289,16424
2029104,485,1302,19564
2030856,2300,910,10857
2032600,3750,-370,12173
2034344,1494,78,14295
2036076,-1735,-69,13452
2037816,-751,809,17332
2039564,1647,1589,13460
2041324,-1568,792,15999
2043072,825,-787,11243
2044828,-1772,-1972,21831
2046600,-552,-1532,15875
2048348,693,-771,20491
2050096,1245,743,16756
2051836,1859,283,18259
2053576,-744,-890,14507
2055340,176,-2136,17623
2057080,176,-924,13275
2058832,1180,1436,17352
2060600,-1906,2193,14454
2062356,-715,1834,17338
2064096,185,-558,17179
2065860,-2774,-3129,17811
2067648,1496,-2435,15974
2069400,1197,-995,15640
2071164,1451,1097,16829
2072920,582,1666,20311
2074684,2550,1044,13135
2076444,1110,-1248,12763
2078204,2046,-292,10511
2079968,1888,730,14540
2081728,-2499,1185,16300
2083484,-1922,676,17629
2085240,-1892,-752,17444
2087016,1586,-2080,13155
2088756,788,-984,16879
2090476,-96,126,18724
2092216,-1420,40,19115
2093940,789,125,16452
2095680,4732,504,16944
2097428,1017,-837,16032
2099188,1926,-2204,16596
2100936,-682,-551,16603
2102692,-778,1335,15419
2104444,360,2327,15439
2106180,1704,718,13518
2107940,2090,-2642,19488
2109720,-3645,-3653,18451
2111488,-545,-1643,15121
2113260,-1727,1009,16728
2115028,2181,1907,14975
2116800,2843,1141,15783
2118552,1937,357,14644
2120292,-262,-814,15787
2122036,380,294,13467
2123788,3773,1715,15183
2125524,-18,1174,18440
2127236,57,-87,15820
2128984,-4741,-1901,17388
2130760,-1378,-1716,16707
2132528,1458,-472,16943
2134268,825,369,16443
2136000,751,-102,21815
2137740,-249,-428,17951
2139496,3607,520,16280
2141244,2076,-510,13399
2142996,4048,-188,12740
2144728,-460,-82,16364
2146476,-1470,306,14548
2148212,373,529,14083
2149940,-756,-264,15576
2151696,-666,-1100,13891
2153464,-1717,-2313,15784
2155252,-1244,-1268,18375
2157024,-3305,-111,18220
2158792,3725,773,12407
2160532,2419,757,14593
2162276,1161,827,15455
2164036,2571,1037,14755
2165784,1556,262,15788
2167540,2240,1292,12975
2169280,-394,-200,12812
2171044,1476,-555,14975
2172808,-2201,-1523,18524
2174592,-1133,-2188,17314
2176352,-441,-736,17347
2178100,-355,-142,17727
2179840,-247,-308,15387
2181612,-1559,-1029,19804
2183388,1242,-121,18411
2185136,555,-361,17484
2186868,2319,-75,15068
2188600,194,-172,15720
2190332,-467,953,15647
2192076,-1758,256,19081
2193824,-362,-342,18301
2195592,2195,-1405,13556
2197360,-2186,-2512,20880
2199120,-236,-512,16380
2200872,-1863,817,19928
2202640,2176,1088,17091
2204400,3410,1106,16104
2206152,3097,581,13506
2207904,2222,-588,12264
2209628,-484,58,18083
