Timestamp,AccX,AccY,AccZ
2924047784,-348,1570,20756
2924049720,540,1276,15091
2924051660,2056,866,15696
2924053596,-1309,-157,17299
2924055548,1878,-1040,15664
2924057492,-842,-1312,20063
2924059448,1939,-1489,14333
2924061400,-1115,-1331,17948
2924063364,1165,-1471,15104
2924065308,-2132,-179,18579
2924067252,-309,1177,14804
2924069196,-1059,1521,17183
2924071156,2731,1593,15138
2924073088,-955,-580,18136
2924075036,1937,-1717,17006
2924076980,967,-1489,17185
2924078932,1445,-1382,15539
2924080864,295,-979,13268
2924082812,-1043,-1381,11760
2924084764,-1547,-965,14843
2924086680,289,52,12978
2924088600,-610,1710,18479
2924090552,1154,2502,16776
2924092504,1108,2264,16828
2924094424,2318,-12,17540
2924096372,2518,-1160,14071
2924098316,786,-1780,11603
2924100240,819,189,14456
2924102172,-265,-1092,15460
2924104120,-602,-1606,15760
2924106072,-1066,-1512,13214
2924108028,2228,682,18648
2924109976,-1447,1263,17588
2924111924,-734,1430,19720
2924113860,-844,1514,18299
2924115796,718,1323,17384
2924117724,-373,-103,16506
2924119664,410,-2196,19083
2924121616,-1108,-2628,18095
2924123572,2487,-1649,11676
2924125516,-152,-1246,16395
2924127464,1495,-185,13148
2924129376,64,-334,14247
2924131296,1895,285,11244
2924133240,-2542,1904,18956
2924135196,2236,2898,16358
2924137136,-459,1992,20604
2924139068,3597,893,16375
2924141008,528,-1090,15139
2924142952,2345,-1905,16328
2924144904,775,-1985,16030
2924146852,-766,-1568,13408
2924148796,-1331,-213,17246
2924150736,-1450,-244,15259
2924152672,253,537,16076
2924154608,1001,1623,18796
2924156556,-1847,2049,17756
2924158516,1148,1179,19571
2924160432,436,440,16572
2924162364,330,-1772,15283
2924164300,-77,-2231,18157
2924166240,942,-1826,16746
2924168168,-216,-1556,15551
2924170116,671,-1823,11660
2924172036,2092,98,16396
2924173964,-2003,753,14943
2924175912,1317,1965,17003
2924177856,-1090,1744,17628
2924179808,1611,1259,16500
2924181756,-1060,-174,16336
2924183692,451,-601,18583
2924185632,-1139,-301,15765
2924187588,2110,-1732,15723
2924189544,1185,-1377,14751
2924191500,1636,-1854,12559
2924193440,-1941,353,19960
2924195384,1696,1246,15604
2924197320,-195,1829,16424
2924199256,645,2113,14409
2924201212,-1554,1082,18675
2924203148,416,484,20675
2924205052,-218,-48,17227
2924206992,3117,-967,16004
2924208932,573,-2208,17371
2924210864,376,-2974,18731
2924212800,303,-2107,17644
2924214724,460,-690,12844
2924216660,3309,-130,14628
2924218604,-1893,933,16748
2924220544,-1008,790,19347
2924222476,152,2670,14766
2924224404,3163,499,15840
2924226328,108,-964,14812
2924228268,1997,-2519,15592
2924230224,-2063,-1181,17676
2924232168,2288,403,13180
2924234104,1701,-999,18467
2924236040,1464,-964,12113
