Timestamp,AccX,AccY,AccZ
1209745704,-2557,237,14485
1209747664,-3504,-2778,16271
1209749604,-4987,-2974,19792
1209751524,-764,-2072,16124
1209753468,-209,-1501,18184
1209755400,1435,54,14412
1209757320,-82,1196,19588
1209759260,1972,2678,14876
1209761204,4281,2503,14446
1209763144,2174,1279,9896
1209765076,-2401,-201,14591
1209767028,-1265,-1133,16491
1209768952,-679,-2855,15628
1209770896,-305,-2450,14839
1209772836,385,-2483,16859
1209774784,-2931,-1617,22251
1209776712,1123,-447,12576
1209778656,2777,1074,17264
1209780604,3039,2677,16887
1209782528,-37,2821,17477
1209784468,1089,3177,17692
1209786420,1350,1740,16479
1209788356,1585,-253,12107
1209790304,-4440,-2384,14588
1209792244,-2053,-2297,19820
1209794188,-4190,-2352,17135
1209796112,190,-1540,16139
1209798056,1548,1312,15443
1209800000,1625,1645,16500
1209801920,-33,897,17227
1209803852,2692,226,15576
1209805792,1982,1314,14852
1209807736,3758,2049,12947
1209809668,-1408,546,14896
1209811616,-4137,-2081,17596
1209813556,-1119,-5221,14003
1209815496,-2518,-4107,16867
1209817440,-1409,-1365,14887
1209819352,-25,791,23435
1209821288,1186,2418,18145
1209823236,4968,1930,16599
1209825176,2642,1414,15112
1209827116,-565,1167,12027
1209829052,220,2218,16263
1209830996,1080,2184,13695
1209832932,1779,479,12488
1209834880,-1882,-3162,11580
1209836824,-3237,-4667,18911
1209838768,-5554,-2100,17160
1209840660,748,2,15539
1209842540,2512,1862,16039
1209844484,5046,3159,14131
1209846424,-391,1227,17739
1209848360,1247,711,16116
1209850296,1031,-719,16927
1209852232,3063,553,12335
1209854172,-1822,-566,14483
1209856128,-1047,-1837,17540
1209858068,-5230,-4382,15242
1209860004,-1445,-3567,18019
1209861924,-817,-779,19520
1209863856,1690,708,16692
1209865804,2349,3033,18795
1209867752,3213,3025,15447
1209869700,4357,2339,15407
1209871624,2221,-481,9566
1209873560,-1693,-1568,11324
1209875504,-1452,-1152,14316
1209877424,531,-583,14208
1209879376,-2013,-1319,14503
1209881304,-929,-1760,15805
1209883260,-4452,-2416,21752
1209885204,-2145,-1045,18751
1209887144,1617,2745,19788
1209889088,3949,3741,16956
1209891044,1431,3161,18900
1209892984,1966,1372,18527
1209894928,-618,-1530,17007
1209896880,2023,-2235,14202
1209898832,-1951,-2337,14831
1209900764,-434,-2054,14967
1209902720,-3704,-2929,16071
1209904648,-121,-1537,12740
1209906580,-1963,-45,16564
1209908528,1832,1696,15927
1209910476,-302,2653,19451
1209912420,3888,3244,16750
1209914364,2191,2651,14397
1209916300,4324,313,15199
1209918228,-29,-2373,13347
1209920172,-2865,-4435,14139
1209922112,-4412,-2306,17667
1209924044,-1059,-202,12899
1209925968,164,706,14276
1209927876,940,70,15036
1209929784,-689,997,20827
1209931728,-1755,1283,15540
1209933680,4291,2785,18464
1209935624,1660,2990,15592
1209937572,2811,1569,14014
1209939508,808,-1551,14376
1209941460,-1037,-3609,14396
1209943404,-3728,-4880,13280
1209945356,-1073,-2803,17885
1209947304,-4451,-1704,18547
1209949228,2084,768,14504
1209951148,935,749,17733
1209953092,1493,2131,18799
1209955040,-1142,1382,15584
1209956980,412,1282,17628
1209958912,970,1586,16584
1209960844,3156,621,10428
1209962776,-361,-2533,15479
1209964712,-51,-4511,11944
1209966664,-5981,-4459,16640
1209968584,-1359,-267,12327
1209970540,-1488,1278,18700
1209972492,2439,2475,16798
1209974436,1440,1645,16921
1209976384,3153,1273,17891
1209978316,997,2423,19659
1209980260,4391,2339,16035
1209982200,2247,-105,15124
1209984140,-577,-2423,16456
1209986096,-1437,-2481,14348
1209988036,-4297,-4505,12995
1209989976,-2328,-3742,14775
1209991924,-1926,-1172,14824
1209993860,-1329,1169,19731
1209995804,-264,3831,18895
1209997748,1501,3423,16285
1209999696,1062,1462,16676
1210001636,1366,618,16667
1210003556,388,-882,16764
1210005484,111,-1563,14864
1210007420,413,-3207,12181
1210009352,621,-3897,16667
1210011300,-4195,-2417,15271
1210013220,575,-997,18232
1210015152,-1684,408,18027
1210017096,2617,2439,13819
1210019036,442,2280,18764
1210020980,2148,3860,20719
1210022900,81,2501,17780
1210024828,2674,954,15272
1210026776,1463,-1692,17040
1210028720,779,-3499,12915
1210030664,-4009,-3959,18364
1210032608,-3006,-2394,15153
1210034528,-911,-396,15551
1210036448,-91,605,17487
1210038380,-959,1303,19112
1210040292,34,2198,20533
1210042228,1396,2803,18163
1210044176,4154,2850,14604
1210046120,1641,1527,17792
1210048068,-1047,-2360,14848
1210050008,-1501,-4927,15908
1210051948,-2977,-4359,15243
1210053896,1382,-2632,15796
