Timestamp,AccX,AccY,AccZ
2571840324,-3196,-3768,19143
2571842248,-992,-2866,16013
2571844204,-3402,-1600,17255
2571846132,2070,871,15020
2571848060,609,3233,18235
2571849996,216,3186,18756
2571851928,-583,-822,20663
2571853872,2474,-2076,12059
2571855820,-229,-1335,18820
2571857760,1679,653,10635
2571859708,-1372,-1059,21004
2571861652,1934,-1982,11287
2571863596,-119,-2989,12863
2571865540,-1955,-827,10882
2571867492,-1927,1706,19803
2571869448,1212,3886,16588
2571871404,3037,3821,20179
2571873340,1895,695,15735
2571875276,-758,-1554,18427
2571877236,-2488,-1400,20191
2571879152,-112,-732,17735
2571881096,2725,-1604,12875
2571883048,2136,-2720,15852
2571885000,-2259,-3039,15964
2571886944,-3657,-2777,16899
2571888888,-1270,1139,21019
2571890836,3233,2671,11335
2571892788,2148,3600,18220
2571894732,2085,1769,18156
2571896684,-3798,-1238,22272
2571898624,1650,-1014,14507
2571900552,843,-251,16628
2571902492,2958,-430,11708
2571904420,23,-2167,14900
2571906360,2076,-3498,16222
2571908316,-3289,-1577,13965
2571910248,743,2166,14333
2571912188,-1678,3764,19592
2571914132,1125,4259,17527
2571916072,935,1714,17260
2571917996,-150,-656,17823
2571919936,-741,-1167,16512
2571921880,-1512,-470,19259
2571923836,1111,-1471,17555
2571925792,2716,-2178,12923
2571927752,1436,-3486,15304
2571929708,-2498,-2812,15507
2571931640,-2622,-1352,13046
2571933568,583,1235,17096
2571935512,3545,3993,14844
2571937460,1934,2695,19400
2571939388,-540,-730,16157
2571941332,-2985,-2157,14955
2571943264,-565,-1105,17627
2571945212,2717,725,17244
2571947152,2545,-193,14108
2571949088,-910,-3100,14755
2571951032,672,-1622,17559
2571952972,-2183,-181,14275
2571954928,1161,2271,13681
2571956872,1454,3894,17069
2571958808,708,2980,21124
2571960748,-1538,-116,16315
2571962664,0,-1254,17884
2571964604,-721,-1591,16863
2571966560,1196,-1258,18140
2571968492,518,-1660,16236
2571970428,965,-2497,14126
2571972372,1002,-2916,15967
2571974332,1974,-1360,15052
2571976260,-509,457,14893
2571978208,1741,3101,13134
2571980156,2245,3559,18187
2571982096,3519,-263,10167
2571984040,-434,-2074,16092
2571985992,-3355,-1131,17966
2571987920,-1703,-756,20452
2571989872,2971,-1167,12795
2571991828,2242,-2292,12967
2571993772,-205,-2913,11680
2571995728,-3293,-1326,19243
2571997664,-2069,2259,16374
2571999620,4051,4275,15179
2572001560,2176,3605,14508
2572003492,327,549,19032
2572005440,-3665,-1559,20089
2572007360,-914,-634,18127
2572009296,446,-1029,15330
2572011252,2027,-1339,12489
2572013196,-811,-2123,18763
2572015148,1049,-2343,11911
2572017096,-3077,-2686,16323
2572019012,2811,163,9496
2572020940,-256,2126,16368
2572022876,-633,3391,13965
2572024808,405,1879,14428
2572026744,925,-1715,12752
2572028688,-1548,-2862,18311
2572030604,-626,-680,18499
2572032556,-2417,-1143,17995
2572034492,2774,-1002,12466
2572036448,4142,-1812,14263
2572038396,-886,-1163,14951
2572040332,-935,479,19632
2572042260,-87,3285,14707
2572044208,4161,4393,14331
2572046152,4193,3057,14112
2572048088,-1859,249,19940
2572050040,-4610,-1460,16487
2572051984,-1019,-2297,13720
2572053920,2384,-1274,18999
2572055856,486,-716,13502
2572057808,-1609,-1615,18479
2572059736,-117,-2542,15531
2572061676,-1008,-524,18331
2572063628,3050,1048,13591
2572065572,2007,3423,13915
2572067508,-881,3133,17047
2572069448,-2300,-894,16192
2572071384,-158,-688,15444
2572073316,-2230,-612,16296
2572075280,1703,-1156,20071
2572077228,450,-1658,18091
2572079172,3044,-2418,14483
2572081124,2422,-1574,12211
2572083068,2462,-276,16229
2572085016,1025,1725,18262
2572086964,1588,3834,14316
2572088912,1507,2449,14124
2572090844,1739,641,15894
2572092780,-3192,-688,15193
2572094732,-3621,-862,19147
2572096692,-2097,-1323,22227
2572098608,3832,-946,9952
2572100544,1525,-1563,19644
2572102500,-2078,-1464,15134
2572104428,-980,-1048,17907
2572106372,1313,437,13695
2572108320,4640,2754,14931
2572110264,2690,2265,13115
2572112200,-2312,720,18545
2572114144,-2733,-879,17487
2572116072,851,-507,16961
2572118000,212,-2082,16515
2572119916,6,-3566,16688
2572121860,-2521,-3209,20843
2572123768,-825,-13,19615
2572125700,407,1805,18547
2572127640,5398,2784,14497
2572129588,3507,2779,16448
2572131540,1464,1506,15755
2572133476,-3635,131,16819
2572135380,40,174,12852
2572137288,-2357,-55,18243
2572139200,73,-319,16080
2572141136,-1517,-1302,21812
2572143068,845,-1931,15872
2572145004,734,-2336,17739
2572146936,2635,-39,13239
2572148892,1833,1129,18660
2572150840,2754,2062,13083
2572152776,721,1059,16343
2572154700,460,-485,13860
2572156644,-1654,-1816,13460
2572158576,-3069,-843,21739
2572160516,-1813,-725,20168
2572162448,-25,-3033,16540
2572164384,643,-3631,14317
2572166340,-2095,-2679,21195
2572168264,277,1011,19768
2572170192,791,2515,17740
2572172140,6020,4258,12885
2572174084,4676,2680,16524
2572176008,786,264,13747
2572177936,-2308,-552,19163
2572179856,-973,-73,15512
2572181792,-2211,-643,16723
2572183740,604,-1264,13835
2572185692,-3621,-2190,21108
2572187624,-1164,-2212,18239
2572189556,-1889,-907,16611
2572191508,1057,1518,19235
2572193452,1859,2329,17240
2572195396,4316,2468,17387
2572197320,-601,-791,14835
2572199260,-939,-1393,13808
2572201208,-3415,-985,12043
2572203152,-1491,-389,18043
2572205108,-1292,-1552,19120
2572207040,-194,-3632,18907
2572208980,736,-3208,15388
2572210920,1692,-184,14976
2572212868,1529,1933,18438
2572214816,3508,3424,17280
2572216760,2969,3881,16623
2572218708,2325,1271,11012
2572220656,-3156,-717,15863
2572222616,-4220,-1040,15607
2572224552,-2714,-1266,17083
2572226484,-1084,-710,14676
2572228432,718,-1611,16563
2572230376,-1777,-2231,15860
2572232304,631,-2001,21012
2572234236,-1447,333,18427
2572236184,5590,2122,14964
2572238136,4023,2891,12131
2572240084,2698,1060,13620
2572242020,-293,-1724,14702
2572243956,190,-1670,15699
2572245892,-1490,-496,14651
2572247836,972,-1688,10102
2572249784,-3234,-3709,20867
2572251712,-612,-3066,16968
2572253672,-3126,-1674,20267
2572255612,1279,2891,18476
2572257560,1993,3409,20708
2572259508,6341,3753,14731
2572261436,87,1447,17675
2572263356,788,-279,10807
2572265308,-3762,-1298,15396
2572267240,-2188,-294,13428
2572269204,-4268,-1502,13905
2572271148,-1582,-2157,16359
2572273080,634,-2036,14609
2572275004,-51,-1933,18724
2572276944,1356,-164,18212
2572278888,1778,1555,19315
2572280824,3520,2124,16683
2572282772,5192,1704,13462
2572284712,2519,-879,17379
2572286656,-2105,-2643,19123
2572288596,-1196,-1478,15896
2572290528,-1314,-698,16835
2572292468,-266,-1802,13904
2572294412,-988,-3872,14604
2572296360,-937,-2805,18027
2572298308,-2463,1047,17843
2572300256,3925,3376,16259
2572302204,2520,3930,19415
2572304152,5589,3663,13428
2572306060,160,97,15480
2572307964,205,-937,15060
2572309912,-2368,-1554,12440
2572311844,-792,-1698,17491
2572313792,-2568,-678,15380
2572315744,-1642,-1257,19443
2572317676,-1355,-1207,16332
2572319612,1055,-1573,17423
2572321552,2075,747,20923
2572323500,2406,2534,18643
2572325448,2139,1989,22536
2572327380,3241,341,13983
2572329316,-605,-2210,14616
2572331276,-1219,-2275,16179
2572333224,-2004,-1002,19003
2572335156,-1049,-859,15326
2572337084,-95,-3386,13579
2572339024,-717,-3383,15544
2572340980,-1468,-1282,18880
2572342924,-3091,2245,18639
2572344872,4877,4549,15991
2572346816,5461,4205,10319
2572348760,3510,1320,15451
2572350716,-1034,-1018,14644
2572352644,150,-1190,17449
2572354592,-1137,-1503,12364
2572356528,1566,-1304,13926
2572358484,-4209,-1805,17812
2572360424,-1480,-1348,17372
2572362368,-2365,-1059,19571
2572364300,1035,546,17411
2572366244,1177,2123,20856
2572368192,4140,1908,14955
2572370120,-254,504,19699
2572372056,1445,254,13764
2572373972,-237,-317,17535
2572375884,428,-788,9698
2572377824,-2735,-3069,15860
2572379768,-2086,-4236,15480
2572381704,-1490,-2484,14644
2572383624,-562,-398,13595
2572385568,1116,2896,18780
2572387524,3802,3740,14420
2572389468,3099,2953,16331
2572391412,4028,1732,12680
2572393344,1789,103,15603
2572395280,-1630,-786,15439
2572397232,1168,-1416,16461
2572399172,-543,-1713,15340
2572401108,87,-1867,14013
2572403056,-2457,-1749,19152
2572405004,-2392,-1466,16232
2572406940,-2264,498,17832
2572408888,3311,2273,14429
2572410824,960,3484,20671
2572412768,3907,2685,15076
2572414720,-1822,-1244,19008
2572416660,2509,-3028,10660
2572418600,714,-2164,15580
2572420524,319,-549,13531
2572422476,-3806,-1596,16014
2572424424,-1356,-3256,12090
2572426368,-2166,-3410,18608
2572428284,-48,1396,14188
2572430220,-662,3314,20332
2572432168,2452,4512,17711
2572434116,3509,3627,19078
2572436048,3298,732,14396
2572437984,249,-1135,12371
2572439928,-1497,-3221,16016
2572441864,-591,-3101,15548
2572443816,-380,-1188,15356
2572445756,229,-1283,13800
2572447700,-1679,-1637,18695
2572449628,-1286,-608,16331
2572451564,-2896,145,20660
2572453512,4790,3134,16104
2572455456,2443,3383,15400
2572457392,2528,558,14574
2572459332,-1069,-917,19911
2572461280,496,-1684,15236
2572463212,259,-2061,13675
2572465164,2583,-1241,12297
2572467112,-4347,-3101,20496
2572469048,-1477,-2803,14844
2572470992,-3710,-1644,16975
2572472924,-312,1781,13767
2572474872,1880,3428,20965
2572476820,2862,3968,19972
2572478764,1707,2493,18084
2572480708,1522,621,14527
2572482636,120,-1200,14251
2572484572,-881,-2177,16832
2572486512,460,-2454,18316
2572488464,-1839,-2051,16299
2572490392,364,-1818,12100
2572492340,-1189,-1235,21413
2572494260,-149,302,18892
2572496180,147,844,16845
2572498124,4093,2445,13288
2572500068,4589,2759,15288
2572501984,1432,-52,17107
2572503928,-776,-1436,19215
2572505876,1840,-1492,13356
2572507828,-1116,-1238,13270
2572509768,2981,-1762,13270
2572511720,-4654,-3008,17082
2572513664,-2255,-3035,13148
2572515596,-3368,166,15545
2572517540,817,3338,15784
2572519484,1554,4224,21188
2572521432,3624,3796,15783
2572523356,-355,866,18012
2572525276,485,133,15174
2572527192,102,-994,15172
2572529132,-283,-2031,17087
2572531072,644,-2796,15767
2572533020,-2953,-2377,16851
2572534960,-276,-1126,12531
2572536892,-174,-598,19431
2572538828,232,1675,20331
2572540772,1400,2194,19716
2572542720,2515,2293,19007
2572544664,3777,1235,16100
2572546588,341,-866,14126
2572548536,-2158,-1750,17365
2572550464,849,-1385,16355
2572552404,-849,-1917,17627
2572554356,1533,-2923,11868
2572556312,-2158,-3960,17622
2572558244,-2723,-2197,15851
2572560188,-3560,1243,18608
2572562136,3739,3879,15068
2572564084,1665,3659,17755
2572566028,2233,1121,18163
2572567952,-434,710,16839
2572569884,1855,-327,17635
2572571832,3180,-1540,15731
2572573788,1568,-1942,17704
2572575736,-1258,-2439,15352
2572577680,-2783,-1787,17142
2572579624,-1687,-1185,16189
2572581552,809,1618,15384
2572583472,76,2446,19403
2572585384,97,2817,20628
2572587320,1452,1866,19191
2572589260,1392,280,15779
2572591192,593,-1041,13319
2572593120,-321,-1587,18004
2572595064,279,-1989,18028
2572597000,-268,-3338,13692
2572598948,2020,-3654,12395
2572600900,-2072,-3662,17917
2572602816,-571,509,18083
2572604744,355,2752,14884
2572606696,4288,3734,13036
2572608644,2672,2566,15211
2572610572,461,-195,17172
2572612504,-2247,-250,17343
2572614424,1231,-7,15980
2572616364,1593,-1689,11680
2572618312,3411,-1959,16008
2572620268,-2494,-1971,17821
2572622208,-3323,-1323,17747
2572624140,-3509,-145,16203
2572626084,679,2797,18484
2572628016,212,3258,19751
2572629952,-360,2858,14992
2572631876,-1716,-28,19028
2572633812,2520,-303,16916
2572635748,1796,-600,18228
2572637688,-127,-1351,14483
2572639640,2022,-3228,16900
2572641596,-1664,-3843,15179
2572643540,1276,-4558,14175
2572645484,319,-1715,12011
2572647408,354,2538,21016
2572649344,720,4162,17836
2572651288,2601,3429,16919
2572653236,1844,1054,11479
2572655152,88,-343,18133
2572657080,-2808,-626,16560
2572659000,-75,-173,18439
2572660940,1057,-923,11600
2572662892,1470,-2438,14367
2572664840,-2141,-2507,15056
2572666772,-2193,-1621,15646
2572668716,-2543,1205,16800
2572670668,4250,3850,13633
2572672600,-492,3672,20035
2572674544,1137,2433,14847
2572676484,-2770,-226,21863
2572678428,408,-1806,15679
2572680384,2447,-1835,16980
2572682332,3083,-1247,17079
2572684280,1107,-1859,20755
2572686224,-312,-4222,14118
2572688184,-1442,-4046,18539
2572690104,-104,-196,11183
2572692036,-395,2652,20960
2572693976,-588,3936,15359
2572695924,2576,3192,20240
2572697872,2156,1260,14504
2572699800,-503,-428,21587
2572701744,-1972,-696,14959
2572703672,375,-981,16531
2572705608,485,-1671,14832
2572707552,2580,-2236,11557
2572709508,-2371,-1501,19083
2572711440,-1694,-134,10871
2572713392,-2517,1444,20324
2572715344,4106,3322,12455
2572717300,2281,3125,16587
2572719224,710,400,16500
2572721168,-3077,-1215,21431
2572723092,710,-1598,13819
2572725028,-624,-2572,17811
2572726984,4512,-1100,15764
2572728932,-372,-2900,20340
2572730876,-455,-3729,13507
2572732832,-2020,-2166,15740
2572734760,1014,390,13239
2572736712,1073,3429,19121
2572738640,763,4421,16504
2572740568,-436,1050,19083
2572742500,1254,779,15804
2572744424,-478,-536,16555
2572746364,-2071,-951,16676
2572748308,1018,-788,15893
2572750240,-233,-1543,16901
2572752196,2153,-2245,10739
2572754132,625,-675,16387
2572756084,-1264,1054,13998
2572758036,1095,2707,18732
2572759984,2359,2399,13975
2572761924,646,1348,16328
2572763844,596,386,16108
2572765780,-3756,-608,22263
2572767728,-599,-1285,17163
2572769672,-300,-2362,15515
2572771628,3306,-2607,17043
2572773592,-1715,-3071,20630
2572775520,565,-3059,15039
2572777452,-1748,-237,15939
2572779404,3821,2597,11503
2572781336,269,3259,17029
2572783268,827,1873,16540
2572785204,-2150,510,20516
2572787128,-964,864,17144
2572789060,1300,256,15132
2572791012,2217,-1623,15624
2572792960,-953,-2446,14015
2572794904,-453,-1805,17236
2572796852,-832,-1022,12423
2572798804,1584,1030,12663
2572800756,-1393,2181,14128
2572802696,-333,2715,13983
2572804644,1618,2138,16683
2572806552,-238,-40,17644
2572808476,-328,-648,18711
2572810408,-134,-946,18862
2572812344,530,-1392,18412
2572814296,-1522,-2264,14968
2572816236,3496,-2412,14392
2572818188,-1314,-2360,16776
2572820112,936,-1500,12956
2572822068,1523,1989,19476
2572824020,3489,4801,12500
2572825972,1790,4258,12492
2572827896,719,720,14402
2572829828,-3726,-772,17683
2572831768,-1186,-414,16887
2572833712,-2763,-843,14276
2572835664,3196,-1426,14236
2572837608,-619,-2293,14748
2572839552,590,-1902,16567
2572841480,-912,-650,18632
2572843424,1432,1426,15648
2572845360,419,2619,16718
2572847296,826,2810,15767
2572849240,-1837,1155,21764
2572851172,-1169,100,17444
2572853112,448,-1772,14631
2572855048,-647,-2103,19300
2572856996,2355,-2316,18806
2572858928,-54,-2842,17475
