Timestamp,AccX,AccY,AccZ
2872220040,2453,3572,18732
2872221984,3512,2780,18031
2872223928,-1683,-423,21636
2872225860,546,-450,16540
2872227792,3122,-875,16956
2872229736,3620,-1346,13824
2872231680,-649,-1787,16936
2872233640,-1763,-2833,13087
2872235584,-4025,-3084,17513
2872237500,469,-635,14823
2872239428,-134,970,19043
2872241372,-769,3789,20592
2872243316,1967,2972,19323
2872245232,4261,51,16819
2872247164,278,-1900,11786
2872249112,-2506,-1172,17920
2872251040,-1880,230,19823
2872252976,-1315,-863,16504
2872254924,4611,-1701,9207
2872256876,-1502,-2958,16584
2872258824,-3712,-1026,18904
2872260768,-5010,1290,20324
2872262724,3153,3905,11876
2872264660,3595,3710,14679
2872266612,1025,1715,20428
2872268548,-2135,-525,16756
2872270488,1644,-854,16404
2872272424,713,-1573,14083
2872274376,4625,-1945,12296
2872276320,-141,-2173,17524
2872278288,-2621,-2988,15260
2872280232,-3191,-2303,15671
2872282152,431,-689,16023
2872284100,1382,2730,15576
2872286036,588,3822,19928
2872287964,144,464,18180
2872289892,3353,-265,16815
2872291812,545,-209,15859
2872293752,1860,135,21268
2872295668,58,-462,16532
2872297612,-1886,-2864,13968
2872299544,1648,-3264,8579
2872301488,-1846,-1119,16503
2872303428,-1749,1685,17767
2872305368,699,3517,14941
2872307316,4073,2850,15123
2872309252,1340,384,14582
2872311192,-860,-1454,22932
2872313132,-3983,255,18556
2872315060,1849,99,16263
2872317000,1828,-1130,13219
2872318948,3286,-2608,17935
2872320892,-483,-3189,13959
2872322844,-4951,-2414,15947
2872324776,-1088,-598,16555
2872326728,3475,1885,15515
2872328672,1127,3077,14359
2872330604,1694,276,17491
2872332556,-1356,-1458,17047
2872334480,-509,-981,17120
2872336408,2474,811,17640
2872338340,3793,-439,18035
2872340280,955,-2839,17883
2872342224,-1105,-3185,12332
2872344168,-2068,-1340,17340
2872346096,885,1469,14119
2872348040,1576,4300,17895
2872349972,-465,4531,15812
2872351912,-128,1177,21299
2872353840,131,-587,15379
2872355780,-1684,-778,19387
2872357700,-55,231,16023
2872359624,-499,-999,20339
2872361548,-78,-1500,12887
2872363496,2495,-2939,12724
2872365452,-1060,-3286,15448
2872367384,-1372,-910,15982
2872369320,792,938,16039
2872371260,4061,3627,12660
2872373200,1325,2724,11483
2872375124,875,-805,16771
2872377076,-4141,-2741,21923
2872379000,388,-1720,16077
2872380924,-640,216,18059
2872382848,3676,-18,17643
2872384800,1186,-2464,15380
2872386756,1308,-3832,15243
2872388708,-1806,-1244,17179
2872390644,1420,2106,12868
2872392572,-77,3405,19759
2872394520,2572,4014,13387
2872396460,-2603,811,20568
2872398400,-294,-1290,15223
2872400332,-662,-758,19060
2872402268,-836,-1216,14324
2872404208,780,-1616,19339
2872406160,1330,-2204,12439
2872408104,565,-3407,15188
2872410036,891,-1499,16025
2872411972,-3796,158,15572
2872413908,514,1592,19845
2872415856,2786,4274,16664
2872417804,1246,3006,18951
2872419736,783,-1217,14804
2872421688,-3760,-2946,19892
2872423628,-1072,-912,17284
2872425544,238,29,17915
2872427460,4513,191,19232
2872429396,414,-1918,14248
2872431348,1394,-2734,11586
2872433296,-1473,-795,16683
2872435252,2498,2456,12829
2872437184,840,4376,17140
2872439132,2765,3283,13032
2872441072,-1287,145,18976
2872443020,-2549,-1623,18190
2872444960,-1020,-1996,16155
2872446888,1789,-580,16540
2872448824,243,-1425,18606
2872450760,511,-1679,15098
2872452696,-764,-2456,14219
2872454628,865,-349,16567
2872456564,-512,1376,14454
2872458504,-129,1889,14579
2872460456,1608,1912,17315
2872462380,313,370,15932
2872464312,-899,-1279,15047
2872466256,-1121,-873,18235
2872468200,1313,-702,17763
2872470124,82,-2680,16023
2872472068,3400,-2758,13927
2872474000,21,-1625,15723
2872475924,-136,223,14898
2872477880,1353,2187,18203
2872479824,4208,3596,16692
2872481764,2932,2576,11468
2872483688,-221,440,12844
2872485636,-4676,-1642,19537
2872487572,-1019,-1339,19812
2872489504,-1920,-984,14936
2872491448,2426,-926,15203
2872493384,-426,-1878,16711
2872495344,1331,-2793,18094
2872497300,-1543,-1542,18355
2872499240,2204,1050,11849
2872501176,527,1941,18452
2872503120,1713,3059,17288
2872505064,-2895,503,18187
2872507004,-1474,-402,15781
2872508908,-5,157,18691
2872510832,1838,-2006,17779
2872512792,-1730,-3514,16907
2872514728,-350,-2900,17072
2872516684,-1094,-1700,18207
2872518616,1792,1554,11147
2872520564,1622,2761,15111
2872522512,2373,2311,12195
2872524460,1569,1879,18099
2872526396,-1006,869,13452
2872528332,-1092,706,19824
2872530264,-1136,170,17148
2872532196,-66,-1158,18342
2872534144,-1696,-2326,17012
2872536088,1979,-2247,14919
2872538032,-2447,-2107,19612
2872539972,2139,-1103,12171
2872541912,1359,163,17504
2872543860,4670,2686,10654
2872545804,1962,2770,15198
2872547752,2222,1081,14843
2872549700,-4021,-2265,14735
2872551640,-796,-2868,14951
2872553584,-2750,-512,19767
2872555504,439,369,20075
2872557440,-899,-2173,20295
2872559392,1825,-2909,15175
2872561328,-75,-1317,19528
2872563260,283,1003,14711
2872565208,1475,2701,14708
2872567156,2569,3647,13656
2872569096,334,2525,16059
2872571028,-587,634,14700
2872572972,-3327,-1605,12840
2872574916,-1953,-2105,16436
2872576840,735,-1804,16884
2872578788,1118,-1374,21707
2872580728,2688,-892,15443
2872582680,1421,-1511,14872
2872584608,692,-242,15323
2872586540,615,1289,17515
2872588484,2611,2355,14092
2872590428,1851,1641,11236
2872592360,2101,-124,13283
2872594308,-4307,-1287,18964
2872596240,-3321,-111,16971
2872598192,-1663,-1502,19748
2872600116,-81,-3307,15144
2872602060,-1841,-3369,18835
2872603992,155,-1517,16863
2872605944,-2168,1591,20171
2872607900,3554,2914,15951
2872609852,3677,3093,12107
2872611792,3996,2284,12532
2872613728,-2943,643,13231
2872615668,-2549,-271,15051
2872617612,-2618,-348,15692
2872619552,1343,-460,13837
2872621500,-2130,-1620,17299
2872623444,-1026,-2166,19972
2872625380,-113,-1669,18395
2872627312,1640,-96,15199
2872629240,2018,590,15288
2872631176,1950,626,13580
2872633100,869,881,16862
2872635016,-748,692,14540
2872636956,-1394,710,14377
2872638876,163,607,12748
2872640808,-1874,-498,19204
2872642768,-3927,-3974,15632
2872644696,479,-3977,16692
2872646640,-1211,-1799,14876
2872648564,494,1804,18971
2872650508,2451,3339,19056
2872652460,3023,3317,15012
2872654396,2393,1527,9752
2872656320,2517,253,16540
2872658252,-5297,262,18307
2872660184,135,329,13447
2872662116,-2366,-390,18396
2872664060,1234,-1110,14748
2872666020,-3459,-2578,19116
2872667960,-1056,-2582,19204
2872669904,-1519,-1283,17064
2872671840,3503,1805,14501
2872673788,2132,2890,19598
2872675736,3948,1808,15291
2872677676,-464,-1240,17808
2872679636,-1033,-2169,14568
2872681568,-1185,-583,16571
2872683504,241,1119,13214
2872685456,-1296,-2112,17396
2872687372,13,-4531,14587
2872689324,-1107,-4157,15597
2872691256,-564,-1194,15984
2872693196,-169,2802,17920
2872695144,2522,4254,17492
2872697100,3570,3660,13935
2872699044,1611,987,15127
2872700964,-1894,-18,15333
2872702904,-3261,-547,18472
2872704848,-3292,-876,16251
2872706792,-2594,-924,20219
2872708736,685,-1434,13651
2872710684,-2154,-1942,17908
2872712616,-287,-1115,15847
2872714548,-664,146,20836
2872716500,3601,1765,16563
2872718448,4134,2300,14464
2872720380,4235,-171,16556
2872722308,-922,-720,21001
2872724232,-561,643,15519
2872726172,-3504,-208,17806
2872728128,1525,-2867,11367
2872730088,-3027,-4684,15446
2872732024,-3920,-3538,18931
2872733964,-1980,-374,17756
2872735928,2553,3196,15038
2872737868,4912,3472,15932
2872739808,5425,2605,14086
2872741720,475,25,17731
2872743636,-1256,-667,16350
2872745572,-230,116,10507
2872747496,698,-422,15623
2872749432,-1059,-697,17568
2872751388,-2371,-1820,18248
2872753336,-2498,-2166,18296
2872755276,-1393,-1567,13930
2872757192,1637,311,20567
2872759128,-493,2753,18567
2872761072,1768,3074,20260
2872763024,1082,1176,12199
2872764972,3160,-2236,15911
2872766928,-2498,-2508,19163
2872768856,-3220,-270,17455
2872770804,-1341,261,17095
2872772744,1269,-2885,9788
2872774696,-1909,-3799,16571
2872776628,-937,-2573,19918
2872778584,-3333,1551,19556
2872780536,5804,4952,14815
2872782480,4781,4349,14797
2872784436,5841,2663,14931
2872786364,321,-881,16024
2872788296,854,-1536,11095
2872790236,-2066,-954,15331
2872792196,1574,-1252,10956
2872794148,-2206,-1285,17827
2872796092,-2544,-1844,16683
2872798036,-1262,-2298,20387
2872799952,-562,172,18236
2872801904,2835,1582,18548
2872803840,789,3589,20235
2872805784,2015,3385,18891
2872807720,2023,163,15136
2872809660,-244,-2937,14043
2872811616,-1207,-2901,16611
2872813548,-3980,-1590,17852
2872815476,-1933,-110,19311
2872817432,1369,-1463,13040
2872819384,-1129,-3253,14780
2872821304,-244,-584,18096
2872823256,-3516,1757,21935
2872825208,2199,3973,15992
2872827156,5528,5056,17536
2872829112,6064,2786,12755
2872831044,-1909,-438,20787
2872832980,183,-1381,11531
2872834932,-2943,-2585,17351
2872836860,1317,-621,13198
2872838804,-3974,-1542,16283
2872840744,-4014,-1510,21533
2872842676,-1813,-371,17541
2872844604,558,132,18539
2872846552,2795,1471,16808
2872848496,2669,1591,18104
2872850408,-5,1895,20115
2872852344,1692,1004,13791
2872854268,914,-286,16034
2872856188,-185,-567,13692
2872858140,-1604,-2090,15680
2872860084,-2617,-2132,19412
2872862024,-1864,-3232,12139
2872863972,-1445,-2241,20700
2872865900,280,1114,15136
2872867820,-20,2911,19783
2872869768,3044,3530,12691
2872871716,3616,2150,16976
2872873652,3455,773,14988
2872875604,-1594,-1352,19504
2872877532,1764,-848,14454
2872879472,-315,-1703,14882
2872881428,1843,-1633,14233
2872883388,-4264,-2054,16815
2872885328,-4491,-1225,21027
2872887252,-2289,355,19683
2872889200,2218,1619,16691
2872891144,3694,2246,16611
2872893088,2960,2688,19779
2872895016,-378,612,20436
2872896968,1726,-2250,12285
2872898920,2374,-2602,14867
2872900860,-808,-468,17219
2872902804,-3273,-679,16903
2872904764,-1756,-3206,17632
2872906704,-1164,-4382,13804
2872908636,-983,-1735,16955
2872910580,320,1976,20068
2872912508,-97,3811,18824
2872914456,4483,4401,13584
2872916404,3551,1670,16104
2872918316,684,-88,13276
2872920268,-2864,-1754,20468
2872922200,-224,-2186,15552
2872924128,-16,-1837,17435
2872926064,651,-1677,11099
2872928012,-3248,-1796,18356
2872929944,-4179,-973,20556
2872931884,-2221,647,15032
2872933828,4340,1636,13492
2872935776,2196,2216,16736
2872937728,3832,1978,16520
2872939652,-216,-155,17507
2872941584,599,-1295,13393
2872943528,2281,-1531,15540
2872945468,932,-1427,14808
2872947416,-2335,-2478,14547
2872949360,-2047,-3491,15340
2872951304,-1121,-2815,14492
2872953220,-787,986,16043
2872955168,1745,2935,14846
2872957112,-819,2923,24552
2872959060,2204,2078,14672
2872960988,3398,549,17096
2872962916,1057,-181,11539
2872964844,-687,-927,14123
2872966776,-367,-1805,15224
2872968732,-2937,-1901,14155
2872970672,1100,-1618,11800
2872972628,-2208,-1284,15004
2872974548,-474,652,20699
2872976500,-1581,1416,12700
2872978452,4023,2069,13839
2872980392,2485,1619,15592
2872982328,1604,552,18471
2872984260,-1378,-254,19916
2872986200,2447,-811,16245
2872988140,-367,-2009,14706
2872990096,1880,-2245,12659
2872992048,-3926,-3892,14995
2872994000,-4201,-3391,18318
2872995924,-2687,-765,14780
2872997872,1662,3113,19272
2872999816,2901,4039,17411
2873001760,1753,2749,19436
2873003676,-99,589,20787
2873005608,2206,566,17555
2873007540,1648,232,15112
2873009476,-334,-1116,13768
2873011428,568,-2320,18579
2873013376,-2984,-2080,16198
2873015320,-1624,-1846,14247
2873017240,-1076,-164,12880
2873019184,-836,1894,22788
2873021132,1266,2606,17713
2873023076,2621,2707,19747
2873025020,1892,1178,15584
2873026940,-347,229,16908
2873028880,-2275,-757,16141
2873030840,1325,-2657,21196
2873032776,-51,-2608,14796
2873034716,1552,-2866,12559
2873036676,-1458,-4092,17316
2873038620,-3442,-2288,15756
2873040548,-2323,325,16624
2873042496,2783,3773,15671
2873044444,2723,3795,16211
2873046388,1450,1016,16720
2873048316,-702,817,19867
2873050252,2238,532,17076
2873052176,2608,42,14860
2873054112,3363,-2139,10519
2873056068,-1496,-2942,15996
2873058012,-3213,-1975,13208
2873059940,-3361,-779,16356
2873061896,-1195,1632,12534
2873063852,1979,2979,20201
2873065788,-269,1785,19749
2873067732,283,1189,22359
2873069668,2817,381,15903
2873071564,229,1,15003
2873073432,-164,-760,18755
2873075376,1644,-2082,16649
2873077316,-202,-3371,15631
2873079276,1010,-3796,10280
2873081220,-821,-4179,16807
2873083156,-904,504,18596
2873085100,-358,2803,19030
2873087044,3715,4089,16856
2873088988,2339,2537,14431
2873090920,1843,191,13964
2873092856,-3665,-261,22275
2873094796,2008,-384,12992
2873096724,775,-487,16348
2873098660,2638,-1876,8911
2873100596,-332,-2152,18992
2873102560,-3203,-1827,15231
2873104492,-4080,558,16914
2873106440,2108,2087,14660
2873108356,59,3665,22067
2873110280,786,2752,19603
2873112220,-2797,205,18124
2873114164,1552,-1414,18446
2873116116,3074,-1030,14997
2873118048,93,-1035,15436
2873119996,658,-2612,15951
2873121928,-96,-3280,13102
2873123860,888,-4792,12330
2873125788,-377,-2933,14891
2873127744,1529,1472,16828
2873129696,-1657,3777,18100
2873131648,3633,3799,17219
2873133584,1758,582,19767
2873135496,116,-63,11783
2873137432,-2227,-305,21487
2873139372,-717,-669,16700
2873141308,245,-1743,12835
2873143252,4246,-2260,12247
2873145204,-1574,-2478,18688
2873147144,-1096,-1188,19322
2873149076,-4010,716,13427
2873151020,4216,3064,16552
2873152956,978,3584,15968
2873154900,1598,1818,19508
2873156848,-1833,-412,20703
2873158780,188,-938,18472
2873160724,1577,-1579,18519
2873162672,4264,-1594,15351
2873164612,622,-3314,17979
2873166564,-1360,-3142,14911
2873168504,-1645,-3273,15920
2873170428,-1380,328,15804
2873172372,1296,3496,15583
2873174312,631,3675,19855
2873176256,445,1399,17199
2873178200,2027,1290,17068
2873180120,-971,765,17275
2873182060,-1051,-455,16490
2873184016,1797,-1381,21884
2873185952,111,-2736,14075
2873187904,1560,-2170,13988
2873189836,-118,-642,14276
2873191756,-292,914,17596
2873193700,839,2136,15451
2873195648,2845,2553,18500
2873197584,887,1025,15625
2873199500,909,799,14703
2873201432,-2347,290,21924
2873203340,572,-48,16840
2873205268,149,-1903,13501
2873207220,1863,-3119,14568
2873209172,-1486,-3613,17499
2873211108,-614,-2600,17883
2873213052,-709,-1501,13696
2873214992,684,2654,15144
2873216932,-1045,4394,15228
2873218884,1003,3111,13775
2873220824,-2369,-181,17467
2873222740,47,-146,15775
2873224664,1705,821,19411
2873226600,1133,-103,17076
2873228552,1676,-1316,17695
2873230500,-447,-3265,11641
2873232444,-365,-2389,17943
2873234372,811,-243,12228
2873236312,1607,2345,12043
2873238252,467,3039,16047
2873240196,2437,2431,17299
2873242120,362,448,18203
2873244056,-121,-1129,14408
2873246000,-687,-1540,17108
2873247936,-176,-784,18886
2873249876,-555,-2109,16040
2873251824,3979,-2616,16011
2873253780,-1949,-4071,16968
2873255704,287,-3397,15571
2873257620,-883,69,17320
2873259552,391,4071,12952
2873261500,1109,4855,16779
2873263444,1987,2925,13131
2873265392,-2372,-730,17875
2873267332,-1946,-622,15091
2873269268,-694,-456,23411
2873271192,2946,-812,14331
2873273140,2106,-1706,18689
2873275084,-614,-1908,14132
2873277024,-823,-2021,17566
2873278964,-105,-577,11833
2873280904,2537,2023,16051
2873282844,-392,3816,21536
2873284800,2099,3643,17367
2873286724,360,554,17990
2873288652,174,-2141,18304
2873290600,-1177,-2591,18273
2873292532,-473,-1465,20851
2873294484,-2001,-1475,15503
2873296428,4356,-1350,13151
2873298384,-1468,-2878,16853
2873300308,376,-3262,17472
2873302236,-522,200,17568
2873304180,3038,3398,14168
2873306128,2205,4609,15752
2873308068,2632,1962,15604
2873310004,-2214,-159,20663
2873311952,-1533,-251,14972
2873313912,-1370,-1658,17292
2873315848,4094,-1752,17339
2873317792,-470,-2474,18367
2873319724,-79,-1859,16723
2873321672,-539,-1065,15500
2873323600,366,926,17984
2873325524,277,2407,16035
2873327444,11,2419,18868
2873329396,-1347,1951,15991
